Season,League,Team,Date,Player,#,Nation,Pos,Age,Min,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2018-2019,Bundesliga,Nürnberg,2019-03-10,Enrico Valentini,22,it ITA,RB,30-018,51,0,0,0,1,0,0,1,0,2,0,0,0,7,1,0,100.0
2018-2019,Bundesliga,Nürnberg,2019-03-10,Timothy Tillman,37,de GER,RM,20-065,39,0,0,0,0,3,0,0,0,1,0,0,0,7,0,0,
2018-2019,Bundesliga,Nürnberg,2019-03-10,Christian Mathenia,26,de GER,GK,26-344,90,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,
2018-2019,Bundesliga,Hannover 96,2019-03-10,Jonathas,9,br BRA,FW,30-004,90,0,0,0,5,2,6,0,1,0,0,0,0,10,3,7,30.0
2018-2019,Bundesliga,Hannover 96,2019-03-10,Genki Haraguchi,10,jp JPN,LM,27-305,90,0,0,0,0,2,0,1,1,2,0,0,0,8,3,1,75.0
2018-2019,Bundesliga,Hannover 96,2019-03-10,Walace,8,br BRA,CM,23-340,45,0,0,0,0,1,0,1,1,0,0,0,0,12,0,1,0.0
2018-2019,Bundesliga,Hannover 96,2019-03-10,Hendrik Weydandt,26,de GER,CM,23-237,45,0,0,0,1,1,1,1,0,0,0,0,0,6,5,4,55.6
2018-2019,Bundesliga,Hannover 96,2019-03-10,Marvin Bakalorz,6,de GER,CM,29-178,90,0,0,0,1,3,0,0,0,2,0,0,0,9,0,2,0.0
2018-2019,Bundesliga,Hannover 96,2019-03-10,Linton Maina,40,de GER,RM,19-260,67,0,0,0,0,1,0,1,0,1,0,0,0,14,0,2,0.0
2018-2019,Bundesliga,Hannover 96,2019-03-10,Florent Muslija,35,xk KVX,RM,20-247,23,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0.0
2018-2019,Bundesliga,Hannover 96,2019-03-10,Pirmin Schwegler,27,ch SUI,DM,32-001,90,1,0,0,3,0,0,0,1,2,0,0,0,25,0,2,0.0
2018-2019,Bundesliga,Hannover 96,2019-03-10,Miiko Albornoz,3,cl CHI,LB,28-100,90,1,0,0,4,4,0,2,1,3,0,0,0,16,0,1,0.0
2018-2019,Bundesliga,Hannover 96,2019-03-10,Kevin Wimmer,28,at AUT,CB,26-115,90,1,0,0,1,1,0,0,1,0,0,0,0,15,3,0,100.0
2018-2019,Bundesliga,Hannover 96,2019-03-10,Waldemar Anton,31,de GER,CB,22-233,90,0,0,0,0,0,0,0,0,1,0,0,0,17,3,2,60.0
2018-2019,Bundesliga,Hannover 96,2019-03-10,Julian Korb,4,de GER,RB,26-354,89,0,0,0,1,0,0,1,3,2,0,0,0,16,1,1,50.0
2018-2019,Bundesliga,Hannover 96,2019-03-10,Felipe,5,br BRA,RB,31-299,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2018-2019,Bundesliga,Hannover 96,2019-03-10,Michael Esser,23,de GER,GK,31-108,90,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,
2018-2019,Bundesliga,Leverkusen,2019-03-10,Kevin Volland,31,de GER,FW,26-223,90,0,0,0,2,1,1,0,0,0,0,0,0,8,0,3,0.0
2018-2019,Bundesliga,Leverkusen,2019-03-10,Leon Bailey,9,jm JAM,LW,21-213,65,0,0,0,1,1,1,7,0,2,0,0,0,7,2,0,100.0
2018-2019,Bundesliga,Leverkusen,2019-03-10,Karim Bellarabi,38,de GER,LW,28-336,25,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,
2018-2019,Bundesliga,Leverkusen,2019-03-10,Kai Havertz,29,de GER,RW,19-272,90,0,0,0,4,4,0,2,0,1,0,0,0,10,2,6,25.0
2018-2019,Bundesliga,Leverkusen,2019-03-10,Julian Brandt,10,de GER,CM,22-312,90,0,0,0,0,0,0,2,1,2,0,0,0,19,2,0,100.0
2018-2019,Bundesliga,Leverkusen,2019-03-10,Charles Aránguiz,20,cl CHI,CM,29-327,60,0,0,0,0,2,0,1,1,2,0,0,0,7,1,1,50.0
2018-2019,Bundesliga,Leverkusen,2019-03-10,Dominik Kohr,21,de GER,CM,25-038,30,0,0,0,1,1,0,1,1,0,0,0,0,9,2,1,66.7
2018-2019,Bundesliga,Leverkusen,2019-03-10,Julian Baumgartlinger,15,at AUT,DM,31-067,90,0,0,0,3,1,0,0,3,5,0,0,0,29,4,2,66.7
2018-2019,Bundesliga,Leverkusen,2019-03-10,Tin Jedvaj,16,hr CRO,LB,23-102,90,1,0,0,2,1,0,0,2,0,0,0,0,13,3,2,60.0
2018-2019,Bundesliga,Leverkusen,2019-03-10,Aleksandar Dragović,6,at AUT,CB,28-004,90,0,0,0,0,1,0,0,1,0,0,0,0,17,2,2,50.0
2018-2019,Bundesliga,Leverkusen,2019-03-10,Jonathan Tah,4,de GER,CB,23-027,90,0,0,0,1,1,0,0,1,0,0,0,0,24,5,1,83.3
2018-2019,Bundesliga,Leverkusen,2019-03-10,Mitchell Weiser,23,de GER,RB,24-323,90,0,0,0,1,3,0,1,0,2,0,0,1,13,1,0,100.0
2018-2019,Bundesliga,Leverkusen,2019-03-10,Lukáš Hrádecký,1,fi FIN,GK,29-106,90,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Dodi Lukebakio,20,be BEL,FW,21-168,90,0,0,0,0,3,0,0,1,0,0,0,0,2,0,1,0.0
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Dawid Kownacki,27,pl POL,LM,21-362,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Rouwen Hennings,28,de GER,LM,31-195,72,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,100.0
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Oliver Fink,7,de GER,CM,36-278,90,0,0,0,1,2,0,1,2,4,0,0,0,9,4,5,44.4
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Aymen Barkok,8,ma MAR,CM,20-294,72,0,0,0,1,0,0,1,0,3,0,0,0,6,2,1,66.7
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Kenan Karaman,11,tr TUR,CM,25-006,18,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0.0
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Benito Raman,9,be BEL,RM,24-124,90,0,0,0,0,1,0,1,1,1,0,0,0,12,0,0,
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Marcel Sobottka,31,de GER,DM,24-320,76,0,0,0,2,2,0,0,0,2,0,0,0,6,1,2,33.3
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Alfredo Morales,6,us USA,DM,28-303,14,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,100.0
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Niko Gießelmann,23,de GER,LB,27-166,90,0,0,0,2,0,1,2,1,4,0,0,0,11,2,0,100.0
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Marcin Kamiński,35,pl POL,CB,27-055,90,0,0,0,0,1,0,0,0,2,0,0,0,9,1,0,100.0
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Kaan Ayhan,5,tr TUR,CB,24-121,90,1,0,0,1,1,0,0,0,4,0,0,0,6,0,1,0.0
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Matthias Zimmermann,25,de GER,RB,26-268,90,0,0,0,1,1,0,1,0,1,0,0,0,12,1,0,100.0
2018-2019,Bundesliga,Düsseldorf,2019-03-11,Michael Rensing,1,de GER,GK,34-301,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Gonçalo Paciência,39,pt POR,FW,24-222,89,0,0,0,4,2,0,2,0,1,0,0,0,6,2,2,50.0
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Jetro Willems,15,nl NED,FW,24-346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Luka Jović,8,rs SRB,FW,21-078,71,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Sébastien Haller,9,ci CIV,FW,24-262,19,0,0,0,0,0,0,1,1,0,0,0,0,2,1,2,33.3
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Sebastian Rode,17,de GER,CM,28-151,90,0,0,0,0,0,0,0,0,3,0,0,0,6,1,2,33.3
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Jonathan de Guzmán,6,nl NED,CM,31-179,79,0,0,0,3,0,0,3,0,2,0,0,0,8,1,0,100.0
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Mijat Gaćinović,11,rs SRB,CM,24-031,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Gelson Fernandes,5,ch SUI,DM,32-190,90,1,0,0,3,0,0,0,2,1,0,0,0,9,1,1,50.0
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Filip Kostić,10,rs SRB,WB,26-130,90,0,0,0,1,1,0,6,0,0,0,0,0,6,0,0,
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Danny da Costa,24,de GER,WB,25-241,90,0,0,0,1,1,1,1,1,1,0,0,0,7,2,2,50.0
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Martin Hinteregger,13,at AUT,CB,26-185,90,1,0,0,1,0,0,0,3,1,0,0,0,16,2,1,66.7
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Makoto Hasebe,20,jp JPN,CB,35-052,90,0,0,0,1,1,0,0,0,3,0,0,0,14,1,0,100.0
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Almamy Touré,18,ml MLI,CB,22-317,90,0,0,0,2,1,0,0,1,1,0,0,0,17,0,3,0.0
2018-2019,Bundesliga,Eint Frankfurt,2019-03-11,Kevin Trapp,31,de GER,GK,28-246,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Lars Stindl,13,de GER,FW,30-201,70,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Florian Neuhaus,32,de GER,"RW,FW",21-364,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Alassane Pléa,14,fr FRA,"LW,FW",26-005,90,0,0,0,4,2,1,1,0,1,0,0,0,3,0,2,0.0
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Thorgan Hazard,10,be BEL,"RW,LW",25-351,90,0,0,0,0,1,0,8,0,1,0,0,0,6,0,1,0.0
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Jonas Hofmann,23,de GER,CM,26-244,81,0,0,0,2,0,0,1,0,1,0,0,0,5,1,0,100.0
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Raffael,11,br BRA,CM,33-352,9,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,100.0
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Denis Zakaria,8,ch SUI,CM,22-115,60,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,100.0
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Patrick Herrmann,7,de GER,CM,28-031,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Tobias Strobl,5,de GER,DM,28-307,90,0,0,0,0,2,0,0,0,2,0,0,0,9,3,1,75.0
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Oscar Wendt,17,se SWE,LB,33-142,90,0,0,0,1,0,0,3,0,0,0,0,0,8,2,0,100.0
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Tony Jantschke,24,de GER,CB,28-342,90,0,0,0,2,1,0,1,0,1,0,0,0,14,4,2,66.7
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Nico Elvedi,30,ch SUI,CB,22-166,90,0,0,0,0,0,0,0,1,0,0,0,0,9,4,1,80.0
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Fabian Johnson,19,us USA,RB,31-094,90,0,0,0,0,1,0,1,0,0,0,0,0,11,0,1,0.0
2018-2019,Bundesliga,M'Gladbach,2019-03-15,Yann Sommer,1,ch SUI,GK,30-088,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2018-2019,Bundesliga,Freiburg,2019-03-15,Nils Petersen,18,de GER,FW,30-099,90,0,0,0,0,1,0,0,0,0,0,0,0,5,3,8,27.3
2018-2019,Bundesliga,Freiburg,2019-03-15,Luca Waldschmidt,11,de GER,AM,22-300,64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
2018-2019,Bundesliga,Freiburg,2019-03-15,Florian Niederlechner,7,de GER,AM,28-142,26,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0.0
2018-2019,Bundesliga,Freiburg,2019-03-15,Vincenzo Grifo,32,it ITA,LM,25-342,89,1,0,0,1,1,0,2,0,0,0,0,0,8,0,1,0.0
2018-2019,Bundesliga,Freiburg,2019-03-15,Lucas Höler,9,de GER,LM,24-248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-2019,Bundesliga,Freiburg,2019-03-15,Amir Abrashi,6,al ALB,CM,28-353,90,1,0,0,3,1,0,0,1,1,0,0,0,7,0,0,
2018-2019,Bundesliga,Freiburg,2019-03-15,Mike Frantz,8,de GER,CM,32-152,76,0,0,0,1,1,0,0,0,1,0,0,0,8,1,1,50.0
2018-2019,Bundesliga,Freiburg,2019-03-15,Jérôme Gondorf,20,de GER,CM,30-262,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2018-2019,Bundesliga,Freiburg,2019-03-15,Janik Haberer,19,de GER,RM,24-347,90,0,0,0,3,2,0,1,0,2,0,0,0,8,1,2,33.3
2018-2019,Bundesliga,Freiburg,2019-03-15,Christian Günter,30,de GER,LB,26-015,90,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,
2018-2019,Bundesliga,Freiburg,2019-03-15,Dominique Heintz,23,de GER,CB,25-212,90,0,0,0,0,0,0,0,1,1,0,0,0,6,2,1,66.7
2018-2019,Bundesliga,Freiburg,2019-03-15,Keven Schlotterbeck,31,de GER,CB,21-321,90,0,0,0,1,2,0,0,1,2,0,0,0,9,1,0,100.0
2018-2019,Bundesliga,Freiburg,2019-03-15,Pascal Stenzel,15,de GER,RB,22-360,90,1,0,0,1,2,0,2,2,3,0,0,0,12,0,1,0.0
2018-2019,Bundesliga,Freiburg,2019-03-15,Alexander Schwolow,1,de GER,GK,26-286,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2018-2019,Bundesliga,Schalke 04,2019-03-16,Breel Embolo,36,ch SUI,FW,22-030,90,0,0,0,5,2,0,1,0,1,0,0,0,4,2,12,14.3
2018-2019,Bundesliga,Schalke 04,2019-03-16,Mark Uth,7,de GER,FW,27-204,72,0,0,0,2,1,1,0,0,2,0,0,0,6,1,5,16.7
2018-2019,Bundesliga,Schalke 04,2019-03-16,Guido Burgstaller,19,at AUT,FW,29-321,18,0,0,0,1,0,0,0,0,0,0,0,0,2,1,3,25.0
2018-2019,Bundesliga,Schalke 04,2019-03-16,Sebastian Rudy,13,de GER,CM,29-016,59,0,0,0,1,1,0,0,0,1,0,0,0,8,0,3,0.0
2018-2019,Bundesliga,Schalke 04,2019-03-16,Ahmed Kutucu,15,tr TUR,CM,19-015,31,0,0,0,1,2,0,0,0,1,0,0,0,10,0,2,0.0
2018-2019,Bundesliga,Schalke 04,2019-03-16,Suat Serdar,8,de GER,CM,21-339,85,0,0,0,1,1,0,1,0,0,0,0,0,14,0,2,0.0
2018-2019,Bundesliga,Schalke 04,2019-03-16,Steven Skrzybski,22,de GER,CM,26-118,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
2018-2019,Bundesliga,Schalke 04,2019-03-16,Benjamin Stambouli,17,fr FRA,DM,28-215,90,0,0,0,0,1,0,0,2,0,0,0,0,15,3,2,60.0
2018-2019,Bundesliga,Schalke 04,2019-03-16,Bastian Oczipka,24,de GER,WB,30-063,90,1,0,0,1,0,0,3,0,0,0,0,0,11,0,0,
2018-2019,Bundesliga,Schalke 04,2019-03-16,Weston McKennie,2,us USA,WB,20-200,90,0,0,0,1,4,0,4,0,0,0,0,0,13,2,4,33.3
2018-2019,Bundesliga,Schalke 04,2019-03-16,Matija Nastasić,5,rs SRB,CB,25-353,90,0,0,0,0,1,0,0,1,1,0,0,0,5,3,1,75.0
2018-2019,Bundesliga,Schalke 04,2019-03-16,Salif Sané,26,sn SEN,CB,28-203,90,0,0,0,0,1,0,0,1,0,0,0,0,30,6,1,85.7
2018-2019,Bundesliga,Schalke 04,2019-03-16,Jeffrey Bruma,27,nl NED,CB,27-123,90,0,0,0,3,0,0,0,0,1,0,0,0,10,2,1,66.7
2018-2019,Bundesliga,Schalke 04,2019-03-16,Alexander Nübel,35,de GER,GK,22-167,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Yussuf Poulsen,9,dk DEN,FW,24-274,90,0,0,0,4,2,0,0,0,0,0,0,0,3,1,10,9.1
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Timo Werner,11,de GER,FW,23-010,87,0,0,0,0,0,0,3,0,0,0,0,0,3,1,1,50.0
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Nordi Mukiele,22,fr FRA,FW,21-135,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Emil Forsberg,10,se SWE,LM,27-144,66,0,0,0,1,2,0,2,0,1,0,0,0,8,1,1,50.0
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Konrad Laimer,27,at AUT,LM,21-293,24,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Kevin Kampl,44,si SVN,CM,28-158,76,0,0,0,2,0,0,1,1,1,0,0,0,9,1,1,50.0
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Amadou Haidara,8,ml MLI,CM,21-044,14,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,100.0
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Tyler Adams,14,us USA,CM,20-030,90,0,0,0,3,1,0,1,1,3,0,0,0,23,3,3,50.0
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Marcel Sabitzer,7,at AUT,RM,24-364,90,0,0,0,0,3,0,2,0,1,0,0,0,9,0,0,
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Marcel Halstenberg,23,de GER,LB,27-170,90,1,0,0,1,2,0,1,0,2,0,0,0,10,6,0,100.0
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Willi Orban,4,hu HUN,CB,26-133,90,0,0,0,1,2,0,0,0,3,0,0,0,23,11,2,84.6
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Ibrahima Konaté,6,fr FRA,CB,19-295,90,0,0,0,2,1,0,0,1,1,0,0,0,11,7,0,100.0
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Lukas Klostermann,16,de GER,RB,22-287,90,0,0,0,0,2,0,1,0,1,0,0,0,9,4,1,80.0
2018-2019,Bundesliga,RB Leipzig,2019-03-16,Péter Gulácsi,1,hu HUN,GK,28-314,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
2018-2019,Bundesliga,Augsburg,2019-03-16,Alfreð Finnbogason,27,is ISL,FW,30-043,58,0,0,0,1,0,1,0,0,2,0,0,0,3,1,1,50.0
2018-2019,Bundesliga,Augsburg,2019-03-16,Sergio Córdova,21,ve VEN,FW,21-219,32,0,0,0,2,1,0,1,0,1,0,0,0,3,1,1,50.0
2018-2019,Bundesliga,Augsburg,2019-03-16,Ji Dong-won,22,kr KOR,LM,27-292,90,0,0,0,2,1,0,3,0,2,0,0,0,13,9,6,60.0
2018-2019,Bundesliga,Augsburg,2019-03-16,Marco Richter,23,de GER,CM,21-112,89,0,0,0,2,1,0,1,0,1,0,0,0,8,1,3,25.0
2018-2019,Bundesliga,Augsburg,2019-03-16,Fredrik Jensen,24,fi FIN,CM,21-188,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2018-2019,Bundesliga,Augsburg,2019-03-16,Koo Ja-cheol,19,kr KOR,CM,30-017,86,0,0,0,0,1,0,0,0,4,0,0,0,12,1,3,25.0
2018-2019,Bundesliga,Augsburg,2019-03-16,Jeffrey Gouweleeuw,6,nl NED,CM,27-249,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
2018-2019,Bundesliga,Augsburg,2019-03-16,André Hahn,28,de GER,RM,28-215,90,1,0,0,4,3,1,4,0,2,0,0,0,13,5,3,62.5
2018-2019,Bundesliga,Augsburg,2019-03-16,Daniel Baier,10,de GER,DM,34-302,90,0,0,0,1,2,0,1,0,3,0,0,0,24,1,3,25.0
2018-2019,Bundesliga,Augsburg,2019-03-16,Philipp Max,31,de GER,LB,25-167,90,0,0,0,0,0,0,6,0,3,0,0,0,9,2,0,100.0
2018-2019,Bundesliga,Augsburg,2019-03-16,Rani Khedira,8,de GER,CB,25-048,90,0,0,0,0,1,0,0,0,2,0,0,0,14,4,2,66.7
2018-2019,Bundesliga,Augsburg,2019-03-16,Kevin Danso,38,at AUT,CB,20-178,90,0,0,0,2,2,0,0,1,1,0,0,0,22,8,3,72.7
2018-2019,Bundesliga,Augsburg,2019-03-16,Jonathan Schmid,17,fr FRA,RB,28-263,90,0,0,0,0,0,0,3,1,0,0,0,0,15,4,1,80.0
2018-2019,Bundesliga,Augsburg,2019-03-16,Gregor Kobel,40,ch SUI,GK,21-100,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
2018-2019,Bundesliga,Hannover 96,2019-03-16,Jonathas,9,br BRA,FW,30-010,90,1,0,0,3,2,2,0,0,0,0,0,0,7,3,7,30.0
2018-2019,Bundesliga,Hannover 96,2019-03-16,Hendrik Weydandt,26,de GER,FW,23-243,75,0,0,0,2,1,0,0,0,0,0,0,0,13,8,15,34.8
2018-2019,Bundesliga,Hannover 96,2019-03-16,Uffe Bech,33,dk DEN,FW,26-062,15,1,0,0,1,0,0,2,0,0,0,0,0,2,1,0,100.0
2018-2019,Bundesliga,Hannover 96,2019-03-16,Nicolai Müller,21,de GER,AM,31-172,65,0,0,0,1,0,0,0,0,1,0,0,0,3,1,2,33.3
2018-2019,Bundesliga,Hannover 96,2019-03-16,Walace,8,br BRA,AM,23-346,25,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,100.0
2018-2019,Bundesliga,Hannover 96,2019-03-16,Linton Maina,40,de GER,CM,19-266,79,0,0,0,0,0,0,0,1,2,0,0,0,7,0,2,0.0
2018-2019,Bundesliga,Hannover 96,2019-03-16,Florent Muslija,35,xk KVX,CM,20-253,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2018-2019,Bundesliga,Hannover 96,2019-03-16,Genki Haraguchi,10,jp JPN,CM,27-311,90,0,0,0,1,1,0,1,0,0,0,0,0,10,3,0,100.0
2018-2019,Bundesliga,Hannover 96,2019-03-16,Marvin Bakalorz,6,de GER,DM,29-184,90,1,0,0,2,1,0,0,3,1,0,0,0,11,1,0,100.0
2018-2019,Bundesliga,Hannover 96,2019-03-16,Miiko Albornoz,3,cl CHI,LB,28-106,90,0,0,0,2,2,0,2,0,4,0,0,0,13,1,2,33.3
2018-2019,Bundesliga,Hannover 96,2019-03-16,Kevin Wimmer,28,at AUT,CB,26-121,90,0,0,0,0,0,0,0,3,2,0,0,0,6,2,1,66.7
2018-2019,Bundesliga,Hannover 96,2019-03-16,Waldemar Anton,31,de GER,CB,22-239,90,0,0,0,0,1,0,0,2,1,0,0,0,6,2,1,66.7
2018-2019,Bundesliga,Hannover 96,2019-03-16,Oliver Sorg,25,de GER,RB,28-291,90,0,0,0,1,2,0,0,0,4,0,0,0,9,2,7,22.2
2018-2019,Bundesliga,Hannover 96,2019-03-16,Michael Esser,23,de GER,GK,31-114,90,1,0,0,0,3,0,0,0,0,0,0,0,6,0,0,
2018-2019,Bundesliga,Wolfsburg,2019-03-16,Wout Weghorst,9,nl NED,FW,26-221,90,0,0,0,0,1,1,0,0,1,0,0,0,8,3,0,100.0
2018-2019,Bundesliga,Wolfsburg,2019-03-16,Josip Brekalo,7,hr CRO,LW,20-266,67,0,0,0,0,2,1,4,1,1,0,0,0,7,0,2,0.0
2018-2019,Bundesliga,Wolfsburg,2019-03-16,Felix Klaus,11,de GER,LW,26-184,23,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,
2018-2019,Bundesliga,Wolfsburg,2019-03-16,Admir Mehmedi,14,ch SUI,RW,28-000,79,0,0,0,2,2,1,2,1,5,0,0,0,9,1,0,100.0
2018-2019,Bundesliga,Wolfsburg,2019-03-16,Renato Steffen,8,ch SUI,RW,27-133,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
2018-2019,Bundesliga,Wolfsburg,2019-03-16,Maximilian Arnold,27,de GER,CM,24-293,90,0,0,0,3,4,0,4,0,0,0,0,0,6,0,2,0.0
2018-2019,Bundesliga,Wolfsburg,2019-03-16,Yannick Gerhardt,13,de GER,CM,25-003,90,0,0,0,3,2,0,1,0,3,0,0,0,9,1,4,20.0
2018-2019,Bundesliga,Wolfsburg,2019-03-16,Josuha Guilavogui,23,fr FRA,DM,28-178,90,1,0,0,1,0,0,0,1,0,0,0,0,8,1,1,50.0
2018-2019,Bundesliga,Wolfsburg,2019-03-16,Jérôme Roussillon,15,fr FRA,LB,26-069,83,0,0,0,5,0,0,4,0,0,0,0,0,12,0,1,0.0
2018-2019,Bundesliga,Wolfsburg,2019-03-16,Ohis Felix Uduokhai,17,de GER,LB,21-188,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2018-2019,Bundesliga,Wolfsburg,2019-03-16,John Brooks,25,us USA,CB,26-047,90,0,0,0,0,0,0,0,1,0,0,0,0,13,2,0,100.0
2018-2019,Bundesliga,Wolfsburg,2019-03-16,Robin Knoche,31,de GER,CB,26-298,90,0,0,0,0,0,0,0,1,0,0,0,0,12,1,2,33.3
2018-2019,Bundesliga,Wolfsburg,2019-03-16,William,2,br BRA,RB,23-347,90,0,0,0,2,0,0,3,0,2,0,0,0,14,2,1,66.7
2018-2019,Bundesliga,Wolfsburg,2019-03-16,Koen Casteels,1,be BEL,GK,26-264,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2018-2019,Bundesliga,Düsseldorf,2019-03-16,Rouwen Hennings,28,de GER,FW,31-200,90,0,0,0,0,1,0,1,0,0,0,0,0,4,4,3,57.1
2018-2019,Bundesliga,Düsseldorf,2019-03-16,Benito Raman,9,be BEL,LM,24-129,90,0,0,0,2,1,0,2,1,1,0,0,0,4,1,2,33.3
2018-2019,Bundesliga,Düsseldorf,2019-03-16,Kevin Stöger,22,at AUT,CM,25-201,90,0,0,0,2,5,0,0,1,2,0,0,0,7,0,0,
2018-2019,Bundesliga,Düsseldorf,2019-03-16,Aymen Barkok,8,ma MAR,CM,20-299,60,0,0,0,1,0,0,0,1,0,0,0,0,5,1,1,50.0
2018-2019,Bundesliga,Düsseldorf,2019-03-16,Kenan Karaman,11,tr TUR,CM,25-011,30,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,100.0
