Season,League,Team,Date,Player,#,Nation,Pos,Age,Min,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2020-2021,Bundesliga,Augsburg,2020-09-19,Daniel Caligiuri,20,it ITA,"RW,LW",32-248,85,0,0,0,2,1,0,1,0,0,0,0,0,3,1,5,16.7
2020-2021,Bundesliga,Augsburg,2020-09-19,Reece Oxford,36,eng ENG,"DM,LW",21-278,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
2020-2021,Bundesliga,Augsburg,2020-09-19,Michael Gregoritsch,11,at AUT,AM,26-154,88,0,0,0,0,2,0,1,0,1,0,0,0,4,3,1,75.0
2020-2021,Bundesliga,Augsburg,2020-09-19,Tobias Strobl,33,de GER,AM,30-130,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
2020-2021,Bundesliga,Augsburg,2020-09-19,Rani Khedira,8,de GER,DM,26-236,90,0,0,0,2,1,0,1,0,1,0,0,0,13,1,2,33.3
2020-2021,Bundesliga,Augsburg,2020-09-19,Carlos Gruezo,25,ec ECU,DM,25-153,85,0,0,0,3,1,0,0,0,3,0,0,0,8,0,1,0.0
2020-2021,Bundesliga,Augsburg,2020-09-19,Fredrik Jensen,24,fi FIN,"LW,DM",23-010,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Augsburg,2020-09-19,Iago,22,br BRA,LB,23-180,90,0,0,0,0,0,0,1,0,0,0,0,0,8,3,1,75.0
2020-2021,Bundesliga,Augsburg,2020-09-19,Ohis Felix Uduokhai,19,de GER,CB,23-010,90,0,0,0,0,2,0,0,0,0,0,0,0,6,6,1,85.7
2020-2021,Bundesliga,Augsburg,2020-09-19,Jeffrey Gouweleeuw,6,nl NED,CB,29-071,90,0,0,0,1,0,0,0,0,1,0,0,0,16,5,4,55.6
2020-2021,Bundesliga,Augsburg,2020-09-19,Raphael Framberger,32,de GER,RB,25-013,90,0,0,0,1,0,0,4,3,1,0,0,0,9,2,3,40.0
2020-2021,Bundesliga,Augsburg,2020-09-19,Rafał Gikiewicz,1,pl POL,GK,32-329,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
2020-2021,Bundesliga,Stuttgart,2020-09-19,Daniel Didavi,10,de GER,FW,30-211,90,1,0,0,2,2,0,2,0,0,0,0,0,5,0,1,0.0
