Team_Home,Team_Away,USxg_Home,USxg_Away,Date,USProb_Home,USProb_Away,Season,League
Valencia,Málaga,3.40858,0.817228,2017-09-19,0.9231,0.0203,2017-2018,LaLiga
Wolfsburg,Werder Bremen,1.01688,1.12581,2017-09-19,0.3181,0.3721,2017-2018,Bundesliga
Augsburg,RB Leipzig,1.30034,1.00414,2017-09-19,0.4405,0.2518,2017-2018,Bundesliga
Schalke 04,Bayern Munich,1.16279,2.45506,2017-09-19,0.109,0.692,2017-2018,Bundesliga
Bologna,Inter,0.890588,1.06724,2017-09-19,0.2524,0.397,2017-2018,SerieA
Barcelona,Eibar,2.58774,0.962105,2017-09-19,0.7801,0.077,2017-2018,LaLiga
Benevento,Roma,0.717607,2.23834,2017-09-20,0.0652,0.7802,2017-2018,SerieA
Köln,Eint Frankfurt,1.84333,1.33101,2017-09-20,0.5001,0.1938,2017-2018,Bundesliga
Athletic Club,Atlético Madrid,1.715,2.30016,2017-09-20,0.2426,0.5154,2017-2018,LaLiga
Leganés,Girona,0.470624,1.24121,2017-09-20,0.1152,0.6065,2017-2018,LaLiga
Hertha BSC,Leverkusen,0.501808,0.426791,2017-09-20,0.2984,0.2263,2017-2018,Bundesliga
Freiburg,Hannover 96,2.89359,1.03212,2017-09-20,0.8329,0.0509,2017-2018,Bundesliga
Mainz 05,Hoffenheim,1.1225,0.960305,2017-09-20,0.4008,0.3074,2017-2018,Bundesliga
Hamburger SV,Dortmund,0.186271,3.18132,2017-09-20,0.001,0.9838,2017-2018,Bundesliga
Lazio,Napoli,0.282218,2.65015,2017-09-20,0.0057,0.9457,2017-2018,SerieA
Milan,SPAL,2.13498,0.158147,2017-09-20,0.9311,0.0061,2017-2018,SerieA
Juventus,Fiorentina,1.01003,0.503787,2017-09-20,0.4831,0.1683,2017-2018,SerieA
Udinese,Torino,2.52674,1.48506,2017-09-20,0.6423,0.162,2017-2018,SerieA
Genoa,Chievo,0.566572,1.29546,2017-09-20,0.1504,0.5663,2017-2018,SerieA
Cagliari,Sassuolo,2.25874,2.62921,2017-09-20,0.294,0.4814,2017-2018,SerieA
