Team_Home,Team_Away,USxg_Home,USxg_Away,Date,USProb_Home,USProb_Away,Season,League
Atalanta,Sampdoria,0.805912,1.14999,2020-07-08,0.2173,0.4656,2019-2020,SerieA
Bologna,Sassuolo,0.61304,0.629928,2020-07-08,0.284,0.3097,2019-2020,SerieA
Roma,Parma,3.30265,1.11414,2020-07-08,0.8597,0.0385,2019-2020,SerieA
Torino,Brescia,1.88812,1.43951,2020-07-08,0.4889,0.2628,2019-2020,SerieA
Barcelona,Espanyol,0.897655,0.830636,2020-07-08,0.3521,0.2976,2019-2020,LaLiga
Everton,Southampton,0.671442,2.29684,2020-07-09,0.0437,0.8214,2019-2020,EPL
Bournemouth,Tottenham,0.960349,0.479274,2020-07-09,0.4893,0.1581,2019-2020,EPL
SPAL,Udinese,0.325928,1.34662,2020-07-09,0.0673,0.6913,2019-2020,SerieA
Mallorca,Levante,1.48983,1.008,2020-07-09,0.5,0.2219,2019-2020,LaLiga
Eibar,Leganés,0.156567,0.398122,2020-07-09,0.1011,0.2912,2019-2020,LaLiga
Aston Villa,Manchester Utd,0.598873,2.86531,2020-07-09,0.0244,0.8947,2019-2020,EPL
Hellas Verona,Inter,1.24167,1.39814,2020-07-09,0.3077,0.3898,2019-2020,SerieA
Athletic Club,Sevilla,1.6153,1.80682,2020-07-09,0.3251,0.4148,2019-2020,LaLiga
Real Sociedad,Granada,1.18927,0.312385,2020-07-10,0.597,0.0918,2019-2020,LaLiga
Real Madrid,Alavés,2.35582,1.31041,2020-07-10,0.6459,0.1406,2019-2020,LaLiga
Norwich City,West Ham,0.613251,3.81088,2020-07-11,0.0069,0.9641,2019-2020,EPL
Watford,Newcastle Utd,3.12855,1.49134,2020-07-11,0.782,0.0672,2019-2020,EPL
Liverpool,Burnley,2.17649,0.452331,2020-07-11,0.8039,0.0484,2019-2020,EPL
Osasuna,Celta Vigo,1.2561,0.985972,2020-07-11,0.419,0.2743,2019-2020,LaLiga
Lazio,Sassuolo,0.672886,1.83016,2020-07-11,0.1055,0.6838,2019-2020,SerieA
Sheffield Utd,Chelsea,2.00632,1.17509,2020-07-11,0.6044,0.1654,2019-2020,EPL
Brescia,Roma,1.42387,3.13472,2020-07-11,0.086,0.7678,2019-2020,SerieA
Valladolid,Barcelona,0.849569,1.02109,2020-07-11,0.2843,0.3868,2019-2020,LaLiga
Brighton,Manchester City,0.149588,5.51767,2020-07-11,0.0,0.9997,2019-2020,EPL
Juventus,Atalanta,1.79282,0.699271,2020-07-11,0.7274,0.0777,2019-2020,SerieA
Atlético Madrid,Betis,0.76357,1.1694,2020-07-11,0.2287,0.455,2019-2020,LaLiga
Wolves,Everton,2.86724,0.286561,2020-07-12,0.9515,0.0085,2019-2020,EPL
Espanyol,Eibar,0.884621,2.0596,2020-07-12,0.0869,0.7342,2019-2020,LaLiga
Aston Villa,Crystal Palace,1.6977,0.974181,2020-07-12,0.5655,0.1844,2019-2020,EPL
Levante,Athletic Club,1.10257,0.979209,2020-07-12,0.3909,0.2405,2019-2020,LaLiga
Genoa,SPAL,2.81026,0.0436239,2020-07-12,0.9794,0.0012,2019-2020,SerieA
Tottenham,Arsenal,1.81846,0.68991,2020-07-12,0.6852,0.1084,2019-2020,EPL
Leganés,Valencia,1.2593,1.28008,2020-07-12,0.321,0.3194,2019-2020,LaLiga
Parma,Bologna,1.36631,0.632711,2020-07-12,0.5883,0.147,2019-2020,SerieA
Fiorentina,Hellas Verona,1.60925,0.592972,2020-07-12,0.6707,0.0943,2019-2020,SerieA
Cagliari,Lecce,1.42447,1.46065,2020-07-12,0.3525,0.3807,2019-2020,SerieA
Udinese,Sampdoria,0.738916,0.760265,2020-07-12,0.3194,0.317,2019-2020,SerieA
Bournemouth,Leicester City,2.54311,1.66084,2020-07-12,0.6175,0.1597,2019-2020,EPL
Napoli,Milan,1.96716,1.28706,2020-07-12,0.5476,0.1611,2019-2020,SerieA
Sevilla,Mallorca,1.91225,0.309223,2020-07-12,0.8366,0.0293,2019-2020,LaLiga
Alavés,Getafe,0.118514,0.596646,2020-07-13,0.0623,0.4233,2019-2020,LaLiga
Villarreal,Real Sociedad,0.365973,1.24702,2020-07-13,0.0967,0.6223,2019-2020,LaLiga
Manchester Utd,Southampton,1.5033,1.8051,2020-07-13,0.2591,0.4316,2019-2020,EPL
Inter,Torino,2.51678,1.6953,2020-07-13,0.5659,0.2161,2019-2020,SerieA
Granada,Real Madrid,0.930144,0.527843,2020-07-13,0.445,0.1921,2019-2020,LaLiga
Chelsea,Norwich City,3.05119,0.0631109,2020-07-14,0.971,0.0016,2019-2020,EPL
Atalanta,Brescia,2.44363,0.867428,2020-07-14,0.7601,0.0766,2019-2020,SerieA
Burnley,Wolves,1.53435,1.2857,2020-07-15,0.4308,0.2647,2019-2020,EPL
Manchester City,Bournemouth,0.82755,1.66635,2020-07-15,0.1546,0.6013,2019-2020,EPL
Newcastle Utd,Tottenham,1.05748,1.7498,2020-07-15,0.159,0.5842,2019-2020,EPL
Sampdoria,Cagliari,1.60851,0.50364,2020-07-15,0.6988,0.0862,2019-2020,SerieA
Milan,Parma,1.7686,0.710977,2020-07-15,0.6394,0.133,2019-2020,SerieA
Bologna,Napoli,0.67381,0.874604,2020-07-15,0.2605,0.3842,2019-2020,SerieA
Arsenal,Liverpool,1.31516,2.2233,2020-07-15,0.1866,0.5877,2019-2020,EPL
Udinese,Lazio,1.0273,0.716385,2020-07-15,0.4302,0.2422,2019-2020,SerieA
Roma,Hellas Verona,2.6565,0.879748,2020-07-15,0.8236,0.0416,2019-2020,SerieA
Sassuolo,Juventus,1.89854,2.43394,2020-07-15,0.2813,0.4998,2019-2020,SerieA
Lecce,Fiorentina,0.448154,2.58765,2020-07-15,0.0234,0.8871,2019-2020,SerieA
Eibar,Valladolid,2.6027,2.14787,2020-07-16,0.4911,0.2366,2019-2020,LaLiga
Everton,Aston Villa,0.944434,1.52021,2020-07-16,0.1951,0.523,2019-2020,EPL
Leicester City,Sheffield Utd,3.05752,0.660214,2020-07-16,0.9014,0.024,2019-2020,EPL
Torino,Genoa,1.4232,1.06904,2020-07-16,0.4708,0.2391,2019-2020,SerieA
Mallorca,Granada,1.21791,1.09278,2020-07-16,0.3846,0.3157,2019-2020,LaLiga
Valencia,Espanyol,1.24164,1.20165,2020-07-16,0.367,0.332,2019-2020,LaLiga
Celta Vigo,Levante,1.64845,1.39618,2020-07-16,0.4172,0.296,2019-2020,LaLiga
Betis,Alavés,1.80332,2.31274,2020-07-16,0.251,0.5115,2019-2020,LaLiga
Barcelona,Osasuna,1.14981,0.672683,2020-07-16,0.4632,0.2138,2019-2020,LaLiga
Athletic Club,Leganés,0.62086,1.84675,2020-07-16,0.0919,0.7113,2019-2020,LaLiga
Real Madrid,Villarreal,1.69772,1.14058,2020-07-16,0.5027,0.1826,2019-2020,LaLiga
Real Sociedad,Sevilla,0.835797,0.611057,2020-07-16,0.3893,0.239,2019-2020,LaLiga
Getafe,Atlético Madrid,1.13873,1.74341,2020-07-16,0.2042,0.5432,2019-2020,LaLiga
Crystal Palace,Manchester Utd,0.572141,1.90448,2020-07-16,0.0851,0.7239,2019-2020,EPL
Southampton,Brighton,2.33745,0.67264,2020-07-16,0.7883,0.0624,2019-2020,EPL
SPAL,Inter,0.811137,2.53043,2020-07-16,0.0491,0.8106,2019-2020,SerieA
West Ham,Watford,0.833995,1.03402,2020-07-17,0.2662,0.3975,2019-2020,EPL
Hellas Verona,Atalanta,1.43922,1.75181,2020-07-18,0.2905,0.4456,2019-2020,SerieA
Norwich City,Burnley,0.576602,1.8233,2020-07-18,0.0925,0.6986,2019-2020,EPL
Cagliari,Sassuolo,0.387358,0.716792,2020-07-18,0.1805,0.3862,2019-2020,SerieA
Milan,Bologna,3.1351,0.530197,2020-07-18,0.904,0.0243,2019-2020,SerieA
Bournemouth,Southampton,0.583117,2.24527,2020-07-19,0.0504,0.8133,2019-2020,EPL
Tottenham,Leicester City,0.766922,1.20085,2020-07-19,0.227,0.4638,2019-2020,EPL
Parma,Sampdoria,1.15169,1.65447,2020-07-19,0.2348,0.5083,2019-2020,SerieA
Valladolid,Betis,0.915131,0.548953,2020-07-19,0.4374,0.1999,2019-2020,LaLiga
Fiorentina,Torino,1.29061,0.236748,2020-07-19,0.6665,0.0634,2019-2020,SerieA
Brescia,SPAL,1.62366,1.58437,2020-07-19,0.3622,0.3622,2019-2020,SerieA
Genoa,Lecce,0.446679,1.69932,2020-07-19,0.0608,0.7513,2019-2020,SerieA
Napoli,Udinese,1.1326,0.842771,2020-07-19,0.4106,0.2724,2019-2020,SerieA
Alavés,Barcelona,0.274487,3.62799,2020-07-19,0.0028,0.979,2019-2020,LaLiga
Atlético Madrid,Real Sociedad,1.50008,0.335651,2020-07-19,0.7539,0.0505,2019-2020,LaLiga
Leganés,Real Madrid,1.16055,1.06489,2020-07-19,0.3666,0.3317,2019-2020,LaLiga
Espanyol,Celta Vigo,0.362807,0.444157,2020-07-19,0.2023,0.2703,2019-2020,LaLiga
Levante,Getafe,2.58924,1.73078,2020-07-19,0.5994,0.1724,2019-2020,LaLiga
Osasuna,Mallorca,1.00938,0.595381,2020-07-19,0.4593,0.1966,2019-2020,LaLiga
Villarreal,Eibar,3.00793,0.762647,2020-07-19,0.8838,0.0273,2019-2020,LaLiga
Sevilla,Valencia,0.731583,0.301441,2020-07-19,0.4241,0.1419,2019-2020,LaLiga
Granada,Athletic Club,2.33033,0.564731,2020-07-19,0.8461,0.036,2019-2020,LaLiga
Roma,Inter,1.44189,1.5285,2020-07-19,0.306,0.3651,2019-2020,SerieA
Brighton,Newcastle Utd,0.855896,0.929091,2020-07-20,0.3094,0.3494,2019-2020,EPL
Sheffield Utd,Everton,0.468461,0.624814,2020-07-20,0.2122,0.3636,2019-2020,EPL
Wolves,Crystal Palace,1.48696,0.440119,2020-07-20,0.7139,0.0685,2019-2020,EPL
Juventus,Lazio,3.70839,1.18841,2020-07-20,0.9364,0.011,2019-2020,SerieA
Watford,Manchester City,0.131868,3.73814,2020-07-21,0.0002,0.9929,2019-2020,EPL
Atalanta,Bologna,1.53325,0.420837,2020-07-21,0.6619,0.09,2019-2020,SerieA
Aston Villa,Arsenal,0.57408,0.737137,2020-07-21,0.247,0.3563,2019-2020,EPL
Sassuolo,Milan,1.18751,2.68189,2020-07-21,0.0581,0.7853,2019-2020,SerieA
Manchester Utd,West Ham,0.984161,1.29009,2020-07-22,0.2391,0.4359,2019-2020,EPL
Parma,Napoli,2.01358,1.52569,2020-07-22,0.5226,0.2035,2019-2020,SerieA
Liverpool,Chelsea,1.45179,2.38205,2020-07-22,0.1498,0.6283,2019-2020,EPL
Sampdoria,Genoa,0.962991,0.943266,2020-07-22,0.2964,0.333,2019-2020,SerieA
Inter,Fiorentina,2.59401,0.632994,2020-07-22,0.8504,0.0396,2019-2020,SerieA
Lecce,Brescia,2.53511,0.9591,2020-07-22,0.7616,0.0907,2019-2020,SerieA
Torino,Hellas Verona,1.0939,1.49437,2020-07-22,0.2279,0.4779,2019-2020,SerieA
SPAL,Roma,0.511748,1.78955,2020-07-22,0.0765,0.7304,2019-2020,SerieA
Udinese,Juventus,1.25842,0.646151,2020-07-23,0.5391,0.1665,2019-2020,SerieA
Lazio,Cagliari,1.46863,0.774845,2020-07-23,0.5412,0.1724,2019-2020,SerieA
Milan,Atalanta,0.459668,2.14411,2020-07-24,0.0348,0.844,2019-2020,SerieA
Brescia,Parma,1.6946,1.83818,2020-07-25,0.3229,0.4,2019-2020,SerieA
Genoa,Inter,0.396594,2.09129,2020-07-25,0.0346,0.8399,2019-2020,SerieA
Napoli,Sassuolo,2.4361,0.636029,2020-07-25,0.8155,0.0476,2019-2020,SerieA
Crystal Palace,Tottenham,0.988534,0.310302,2020-07-26,0.5715,0.0952,2019-2020,EPL
West Ham,Aston Villa,0.781465,0.983594,2020-07-26,0.2721,0.3816,2019-2020,EPL
Chelsea,Wolves,1.15938,0.164561,2020-07-26,0.659,0.0433,2019-2020,EPL
Everton,Bournemouth,1.74699,1.46461,2020-07-26,0.4243,0.26,2019-2020,EPL
Burnley,Brighton,1.44244,1.3696,2020-07-26,0.3839,0.3382,2019-2020,EPL
Manchester City,Norwich City,3.56749,0.786563,2020-07-26,0.9055,0.0231,2019-2020,EPL
Newcastle Utd,Liverpool,0.339294,0.56818,2020-07-26,0.1985,0.3289,2019-2020,EPL
Southampton,Sheffield Utd,1.64306,1.41051,2020-07-26,0.4064,0.2951,2019-2020,EPL
Arsenal,Watford,1.95282,3.9197,2020-07-26,0.0736,0.8008,2019-2020,EPL
Leicester City,Manchester Utd,0.754668,1.41019,2020-07-26,0.153,0.566,2019-2020,EPL
Bologna,Lecce,2.68927,2.24736,2020-07-26,0.4843,0.2931,2019-2020,SerieA
Cagliari,Udinese,1.21989,0.988006,2020-07-26,0.4215,0.2825,2019-2020,SerieA
SPAL,Torino,0.376682,1.55546,2020-07-26,0.0727,0.7107,2019-2020,SerieA
Roma,Fiorentina,2.9313,0.706479,2020-07-26,0.8913,0.0241,2019-2020,SerieA
Hellas Verona,Lazio,1.78131,2.26539,2020-07-26,0.2319,0.4972,2019-2020,SerieA
Juventus,Sampdoria,3.493,1.0882,2020-07-26,0.8923,0.0356,2019-2020,SerieA
Parma,Atalanta,1.56236,1.14053,2020-07-28,0.4843,0.254,2019-2020,SerieA
Inter,Napoli,0.592135,1.16883,2020-07-28,0.1776,0.5162,2019-2020,SerieA
Udinese,Lecce,1.5542,1.93484,2020-07-29,0.2399,0.4743,2019-2020,SerieA
Sassuolo,Genoa,3.04916,1.10579,2020-07-29,0.8038,0.0744,2019-2020,SerieA
Sampdoria,Milan,2.45481,3.08989,2020-07-29,0.2658,0.5256,2019-2020,SerieA
Lazio,Brescia,3.90847,0.785251,2020-07-29,0.9314,0.0183,2019-2020,SerieA
Hellas Verona,SPAL,2.03906,0.737187,2020-07-29,0.7293,0.09,2019-2020,SerieA
Fiorentina,Bologna,2.38995,1.30437,2020-07-29,0.6771,0.1094,2019-2020,SerieA
Cagliari,Juventus,1.06185,1.26452,2020-07-29,0.3024,0.3841,2019-2020,SerieA
Torino,Roma,0.968279,2.42302,2020-07-29,0.0688,0.7616,2019-2020,SerieA
Brescia,Sampdoria,1.66164,1.94751,2020-08-01,0.2792,0.4405,2019-2020,SerieA
Napoli,Lazio,1.92539,1.0997,2020-08-01,0.5907,0.1552,2019-2020,SerieA
Atalanta,Inter,1.01735,1.15739,2020-08-01,0.2909,0.393,2019-2020,SerieA
Milan,Cagliari,3.3169,0.228383,2020-08-01,0.9727,0.0031,2019-2020,SerieA
Juventus,Roma,1.04247,1.93545,2020-08-01,0.1362,0.6265,2019-2020,SerieA
SPAL,Fiorentina,0.861493,2.24878,2020-08-02,0.0866,0.72,2019-2020,SerieA
Lecce,Parma,2.63165,3.54088,2020-08-02,0.2098,0.5831,2019-2020,SerieA
Genoa,Hellas Verona,0.895278,0.982261,2020-08-02,0.3258,0.3451,2019-2020,SerieA
Bologna,Torino,1.33815,1.4627,2020-08-02,0.3294,0.3941,2019-2020,SerieA
Sassuolo,Udinese,0.997909,2.14872,2020-08-02,0.1241,0.6815,2019-2020,SerieA
Bordeaux,Nantes,0.600075,0.187821,2020-08-21,0.474,0.0867,2020-2021,Ligue1
Dijon,Angers,0.739709,2.02214,2020-08-22,0.0751,0.7285,2020-2021,Ligue1
Lille,Rennes,0.400974,1.29518,2020-08-22,0.0851,0.6345,2020-2021,Ligue1
Monaco,Reims,2.67622,1.83257,2020-08-23,0.5783,0.2187,2020-2021,Ligue1
Lorient,Strasbourg,3.07214,0.326826,2020-08-23,0.9619,0.0053,2020-2021,Ligue1
Nîmes,Brest,2.14597,0.468011,2020-08-23,0.8069,0.0494,2020-2021,Ligue1
Nice,Lens,0.180464,3.03614,2020-08-23,0.0009,0.9815,2020-2021,Ligue1
Lyon,Dijon,3.97148,0.215658,2020-08-28,0.9895,0.0012,2020-2021,Ligue1
Rennes,Montpellier,1.78715,0.491784,2020-08-29,0.7173,0.0837,2020-2021,Ligue1
Strasbourg,Nice,0.227899,1.20894,2020-08-29,0.037,0.7428,2020-2021,Ligue1
Reims,Lille,0.206627,0.906784,2020-08-30,0.0757,0.5572,2020-2021,Ligue1
Angers,Bordeaux,0.511549,2.28529,2020-08-30,0.0387,0.8358,2020-2021,Ligue1
Metz,Monaco,0.626118,0.189291,2020-08-30,0.427,0.0974,2020-2021,Ligue1
Nantes,Nîmes,2.15547,0.874864,2020-08-30,0.7289,0.0959,2020-2021,Ligue1
Saint-Étienne,Lorient,1.39361,0.2149,2020-08-30,0.7359,0.0453,2020-2021,Ligue1
Brest,Marseille,2.12594,1.32391,2020-08-30,0.5863,0.178,2020-2021,Ligue1
Lens,Paris S-G,1.71747,0.344198,2020-09-10,0.8006,0.0384,2020-2021,Ligue1
Bordeaux,Lyon,0.231132,1.79726,2020-09-11,0.0299,0.7984,2020-2021,Ligue1
Fulham,Arsenal,0.126327,2.16287,2020-09-12,0.0037,0.9487,2020-2021,EPL
Crystal Palace,Southampton,1.39569,1.26267,2020-09-12,0.3916,0.3062,2020-2021,EPL
Eibar,Celta Vigo,0.344008,0.783653,2020-09-12,0.1401,0.4695,2020-2021,LaLiga
Montpellier,Nice,1.69934,0.376694,2020-09-12,0.7369,0.0615,2020-2021,Ligue1
Liverpool,Leeds United,3.15412,0.269813,2020-09-12,0.9658,0.0046,2020-2021,EPL
Granada,Athletic Club,0.545144,0.483337,2020-09-12,0.3131,0.2364,2020-2021,LaLiga
Cádiz,Osasuna,0.600934,0.633286,2020-09-12,0.2773,0.3086,2020-2021,LaLiga
Saint-Étienne,Strasbourg,1.76107,1.30205,2020-09-12,0.5197,0.2033,2020-2021,Ligue1
West Ham,Newcastle Utd,0.861445,1.65911,2020-09-12,0.1506,0.6014,2020-2021,EPL
Lille,Metz,0.814528,0.736721,2020-09-13,0.3186,0.3036,2020-2021,Ligue1
Alavés,Betis,1.17642,0.341233,2020-09-13,0.7103,0.0539,2020-2021,LaLiga
Lorient,Lens,0.919743,1.98746,2020-09-13,0.0819,0.6733,2020-2021,Ligue1
Dijon,Brest,0.296281,2.19687,2020-09-13,0.0229,0.8641,2020-2021,Ligue1
Angers,Reims,2.14867,0.324767,2020-09-13,0.8581,0.0277,2020-2021,Ligue1
Nîmes,Rennes,1.00844,2.0941,2020-09-13,0.1298,0.6681,2020-2021,Ligue1
West Brom,Leicester City,0.352997,2.95581,2020-09-13,0.007,0.9572,2020-2021,EPL
Valladolid,Real Sociedad,0.858211,0.31178,2020-09-13,0.528,0.1065,2020-2021,LaLiga
Monaco,Nantes,2.27042,1.10894,2020-09-13,0.644,0.1399,2020-2021,Ligue1
Tottenham,Everton,0.822944,1.26793,2020-09-13,0.22,0.4823,2020-2021,EPL
Villarreal,Huesca,2.01913,0.556003,2020-09-13,0.7705,0.06,2020-2021,LaLiga
Valencia,Levante,1.72531,2.37179,2020-09-13,0.2184,0.5313,2020-2021,LaLiga
Paris S-G,Marseille,2.22184,0.502817,2020-09-13,0.8529,0.0295,2020-2021,Ligue1
Sheffield Utd,Wolves,0.949316,1.61307,2020-09-14,0.1683,0.5411,2020-2021,EPL
Brighton,Chelsea,1.44281,1.27062,2020-09-14,0.3871,0.2976,2020-2021,EPL
Montpellier,Lyon,1.75168,2.17049,2020-09-15,0.2513,0.462,2020-2021,Ligue1
Paris S-G,Metz,2.42357,0.980849,2020-09-16,0.7217,0.0988,2020-2021,Ligue1
Marseille,Saint-Étienne,2.65376,1.02937,2020-09-17,0.7622,0.0877,2020-2021,Ligue1
Bayern Munich,Schalke 04,4.62088,0.14975,2020-09-18,0.9948,0.0006,2020-2021,Bundesliga
Lyon,Nîmes,1.62529,0.714832,2020-09-18,0.6345,0.1203,2020-2021,Ligue1
Everton,West Brom,4.16254,0.315347,2020-09-19,0.9973,0.0005,2020-2021,EPL
Köln,Hoffenheim,2.40801,2.9032,2020-09-19,0.2453,0.5017,2020-2021,Bundesliga
Union Berlin,Augsburg,1.04515,1.42046,2020-09-19,0.243,0.4688,2020-2021,Bundesliga
Eint Frankfurt,Arminia,2.46928,0.618787,2020-09-19,0.8454,0.0388,2020-2021,Bundesliga
Werder Bremen,Hertha BSC,0.495892,2.05406,2020-09-19,0.0616,0.7743,2020-2021,Bundesliga
Stuttgart,Freiburg,2.15741,2.07011,2020-09-19,0.3889,0.369,2020-2021,Bundesliga
Leeds United,Fulham,1.45254,1.55503,2020-09-19,0.3157,0.3706,2020-2021,EPL
Villarreal,Eibar,2.99286,1.112,2020-09-19,0.8148,0.0641,2020-2021,LaLiga
Lens,Bordeaux,3.02331,0.359182,2020-09-19,0.942,0.01,2020-2021,Ligue1
Fiorentina,Torino,2.35462,0.617878,2020-09-19,0.8292,0.0387,2020-2021,SerieA
Manchester Utd,Crystal Palace,1.09737,1.91456,2020-09-19,0.1695,0.5927,2020-2021,EPL
Dortmund,M'Gladbach,1.70398,0.510293,2020-09-19,0.7372,0.0597,2020-2021,Bundesliga
Getafe,Osasuna,0.702715,0.486466,2020-09-19,0.3749,0.2129,2020-2021,LaLiga
Hellas Verona,Roma,0.910773,1.77959,2020-09-19,0.1573,0.595,2020-2021,SerieA
Arsenal,West Ham,1.32902,2.06377,2020-09-19,0.1916,0.5677,2020-2021,EPL
Rennes,Monaco,0.857476,0.816922,2020-09-19,0.3318,0.3096,2020-2021,Ligue1
Celta Vigo,Valencia,2.33534,0.456643,2020-09-19,0.8596,0.0305,2020-2021,LaLiga
Parma,Napoli,0.160985,1.54079,2020-09-20,0.013,0.8649,2020-2021,SerieA
Southampton,Tottenham,2.27708,2.28004,2020-09-20,0.3533,0.3702,2020-2021,EPL
Nice,Paris S-G,0.930504,3.32755,2020-09-20,0.0208,0.9096,2020-2021,Ligue1
Brest,Lorient,1.21203,1.49951,2020-09-20,0.276,0.4399,2020-2021,Ligue1
Strasbourg,Dijon,2.38097,0.487834,2020-09-20,0.8538,0.0309,2020-2021,Ligue1
Newcastle Utd,Brighton,0.520678,1.8766,2020-09-20,0.0459,0.7784,2020-2021,EPL
Montpellier,Angers,1.94396,0.772287,2020-09-20,0.6832,0.1174,2020-2021,Ligue1
Metz,Reims,1.71276,1.18244,2020-09-20,0.5118,0.188,2020-2021,Ligue1
Genoa,Crotone,2.23283,1.32278,2020-09-20,0.6079,0.179,2020-2021,SerieA
RB Leipzig,Mainz 05,3.22891,1.07201,2020-09-20,0.8409,0.0478,2020-2021,Bundesliga
Huesca,Cádiz,0.223846,1.50522,2020-09-20,0.015,0.8535,2020-2021,LaLiga
Nantes,Saint-Étienne,1.33579,1.03738,2020-09-20,0.3864,0.2172,2020-2021,Ligue1
Chelsea,Liverpool,0.904183,2.25211,2020-09-20,0.0572,0.7478,2020-2021,EPL
Wolfsburg,Leverkusen,1.27652,0.441229,2020-09-20,0.6238,0.0988,2020-2021,Bundesliga
Sassuolo,Cagliari,2.0285,0.95973,2020-09-20,0.6318,0.138,2020-2021,SerieA
Betis,Valladolid,1.76775,0.290702,2020-09-20,0.8146,0.0328,2020-2021,LaLiga
Granada,Alavés,2.45453,0.77021,2020-09-20,0.8369,0.032,2020-2021,LaLiga
Leicester City,Burnley,0.987365,1.52404,2020-09-20,0.2291,0.507,2020-2021,EPL
Juventus,Sampdoria,2.14288,0.606523,2020-09-20,0.8007,0.0492,2020-2021,SerieA
Real Sociedad,Real Madrid,0.718119,0.769069,2020-09-20,0.2986,0.3357,2020-2021,LaLiga
Marseille,Lille,0.865098,1.49471,2020-09-20,0.177,0.5394,2020-2021,Ligue1
Aston Villa,Sheffield Utd,0.80527,0.849709,2020-09-21,0.2616,0.3631,2020-2021,EPL
Milan,Bologna,2.94224,0.825483,2020-09-21,0.8582,0.0416,2020-2021,SerieA
Wolves,Manchester City,0.727677,2.07651,2020-09-21,0.0838,0.7456,2020-2021,EPL
Hertha BSC,Eint Frankfurt,1.55994,1.62111,2020-09-25,0.3391,0.3658,2020-2021,Bundesliga
Lille,Nantes,2.09387,0.660348,2020-09-25,0.7766,0.064,2020-2021,Ligue1
Alavés,Getafe,0.867165,1.31111,2020-09-26,0.2251,0.4809,2020-2021,LaLiga
Brighton,Manchester Utd,2.97659,1.57583,2020-09-26,0.7204,0.1017,2020-2021,EPL
Torino,Atalanta,0.773914,2.47087,2020-09-26,0.0674,0.7806,2020-2021,SerieA
Arminia,Köln,0.163242,1.3741,2020-09-26,0.0248,0.7942,2020-2021,Bundesliga
M'Gladbach,Union Berlin,1.47627,0.771461,2020-09-26,0.5654,0.1714,2020-2021,Bundesliga
Mainz 05,Stuttgart,1.04484,2.9689,2020-09-26,0.0465,0.8316,2020-2021,Bundesliga
Augsburg,Dortmund,1.44779,1.5267,2020-09-26,0.3505,0.3765,2020-2021,Bundesliga
Leverkusen,RB Leipzig,0.91247,1.20453,2020-09-26,0.2522,0.4231,2020-2021,Bundesliga
Valencia,Huesca,0.306092,1.10618,2020-09-26,0.0917,0.5796,2020-2021,LaLiga
Crystal Palace,Everton,0.443115,2.27189,2020-09-26,0.0286,0.8625,2020-2021,EPL
Saint-Étienne,Rennes,0.200419,1.37167,2020-09-26,0.0415,0.7222,2020-2021,Ligue1
Sampdoria,Benevento,1.36058,1.27481,2020-09-26,0.3697,0.3094,2020-2021,SerieA
Cagliari,Lazio,0.91566,1.99417,2020-09-26,0.1028,0.6742,2020-2021,SerieA
Elche,Real Sociedad,1.23661,3.3738,2020-09-26,0.037,0.8473,2020-2021,LaLiga
West Brom,Chelsea,0.911185,2.36046,2020-09-26,0.0777,0.7497,2020-2021,EPL
Schalke 04,Werder Bremen,1.67597,3.10437,2020-09-26,0.1077,0.724,2020-2021,Bundesliga
Inter,Fiorentina,1.69563,2.25332,2020-09-26,0.2558,0.521,2020-2021,SerieA
Marseille,Metz,0.864412,1.10713,2020-09-26,0.2725,0.4139,2020-2021,Ligue1
Betis,Real Madrid,1.41465,3.86499,2020-09-26,0.0374,0.8814,2020-2021,LaLiga
Burnley,Southampton,0.347136,0.706632,2020-09-26,0.1508,0.4304,2020-2021,EPL
Osasuna,Levante,0.724471,2.99435,2020-09-27,0.0188,0.9062,2020-2021,LaLiga
Spezia,Sassuolo,1.29116,2.6497,2020-09-27,0.1167,0.6997,2020-2021,SerieA
Sheffield Utd,Leeds United,1.53278,1.46641,2020-09-27,0.3921,0.337,2020-2021,EPL
Bordeaux,Nice,1.17944,0.645309,2020-09-27,0.5024,0.1875,2020-2021,Ligue1
Eibar,Athletic Club,0.325316,0.505645,2020-09-27,0.1807,0.3118,2020-2021,LaLiga
Tottenham,Newcastle Utd,3.18765,0.942726,2020-09-27,0.886,0.0246,2020-2021,EPL
Angers,Brest,1.11753,2.36408,2020-09-27,0.115,0.6939,2020-2021,Ligue1
Nîmes,Lens,0.370624,1.37195,2020-09-27,0.089,0.6563,2020-2021,Ligue1
Dijon,Montpellier,1.60909,2.31217,2020-09-27,0.2205,0.5527,2020-2021,Ligue1
Hellas Verona,Udinese,1.35384,2.14756,2020-09-27,0.197,0.5747,2020-2021,SerieA
Monaco,Strasbourg,1.56306,1.40652,2020-09-27,0.3866,0.317,2020-2021,Ligue1
Hoffenheim,Bayern Munich,2.52339,1.17311,2020-09-27,0.7104,0.1154,2020-2021,Bundesliga
Atlético Madrid,Granada,3.60448,1.30515,2020-09-27,0.8702,0.0368,2020-2021,LaLiga
Lorient,Lyon,0.299841,0.818784,2020-09-27,0.128,0.4747,2020-2021,Ligue1
Manchester City,Leicester City,1.44633,2.86721,2020-09-27,0.0894,0.7614,2020-2021,EPL
Freiburg,Wolfsburg,0.92465,0.413442,2020-09-27,0.4736,0.1537,2020-2021,Bundesliga
Napoli,Genoa,2.34102,0.265594,2020-09-27,0.8783,0.0187,2020-2021,SerieA
