League,Season,Wk,Day,Date,Time,HomeTeam,AwayTeam,Attendance,Venue,Referee,HomeScore,AwayScore
EPL,2015-2016,4,Sun,2015-08-30,13:30,Southampton,Norwich City,29573,St. Mary's Stadium,Jonathan Moss,3,0
EPL,2015-2016,4,Sun,2015-08-30,16:00,Swansea City,Manchester Utd,20828,Liberty Stadium,Martin Atkinson,2,1
EPL,2015-2016,5,Sat,2015-09-12,12:45,Everton,Chelsea,38311,Goodison Park,Andre Marriner,3,1
EPL,2015-2016,5,Sat,2015-09-12,15:00,West Brom,Southampton,24265,The Hawthorns,Stuart Attwell,0,0
EPL,2015-2016,5,Sat,2015-09-12,15:00,Arsenal,Stoke City,59963,Emirates Stadium,Jonathan Moss,2,0
EPL,2015-2016,5,Sat,2015-09-12,15:00,Norwich City,Bournemouth,27018,Carrow Road,Martin Atkinson,3,1
EPL,2015-2016,5,Sat,2015-09-12,15:00,Crystal Palace,Manchester City,25167,Selhurst Park,Mike Jones,0,1
EPL,2015-2016,5,Sat,2015-09-12,15:00,Watford,Swansea City,20057,Vicarage Road Stadium,Robert Madley,1,0
EPL,2015-2016,5,Sat,2015-09-12,17:30,Manchester Utd,Liverpool,75347,Old Trafford,Michael Oliver,3,1
EPL,2015-2016,5,Sun,2015-09-13,13:30,Sunderland,Tottenham,40303,Stadium of Light,Craig Pawson,0,1
EPL,2015-2016,5,Sun,2015-09-13,16:00,Leicester City,Aston Villa,31733,King Power Stadium,Mike Dean,3,2
EPL,2015-2016,5,Mon,2015-09-14,20:00,West Ham,Newcastle Utd,34907,Boleyn Ground,Anthony Taylor,2,0
EPL,2015-2016,6,Sat,2015-09-19,12:45,Chelsea,Arsenal,41584,Stamford Bridge,Mike Dean,2,0
EPL,2015-2016,6,Sat,2015-09-19,15:00,Newcastle Utd,Watford,47806,St. James' Park,Roger East,1,2
EPL,2015-2016,6,Sat,2015-09-19,15:00,Stoke City,Leicester City,27642,Bet365 Stadium,Andre Marriner,2,2
EPL,2015-2016,6,Sat,2015-09-19,15:00,Aston Villa,West Brom,36321,Villa Park,Martin Atkinson,0,1
EPL,2015-2016,6,Sat,2015-09-19,15:00,Bournemouth,Sunderland,11271,Vitality Stadium,Kevin Friend,2,0
EPL,2015-2016,6,Sat,2015-09-19,15:00,Swansea City,Everton,20805,Liberty Stadium,Stuart Attwell,0,0
EPL,2015-2016,6,Sat,2015-09-19,17:30,Manchester City,West Ham,53545,Etihad Stadium,Robert Madley,1,2
EPL,2015-2016,6,Sun,2015-09-20,13:30,Tottenham,Crystal Palace,35723,White Hart Lane,Michael Oliver,1,0
EPL,2015-2016,6,Sun,2015-09-20,16:00,Southampton,Manchester Utd,31588,St. Mary's Stadium,Mark Clattenburg,2,3
EPL,2015-2016,6,Sun,2015-09-20,16:00,Liverpool,Norwich City,44072,Anfield,Anthony Taylor,1,1
EPL,2015-2016,7,Sat,2015-09-26,12:45,Tottenham,Manchester City,35867,White Hart Lane,Mark Clattenburg,4,1
EPL,2015-2016,7,Sat,2015-09-26,15:00,Liverpool,Aston Villa,44228,Anfield,Jonathan Moss,3,2
EPL,2015-2016,7,Sat,2015-09-26,15:00,Leicester City,Arsenal,32047,King Power Stadium,Craig Pawson,2,5
EPL,2015-2016,7,Sat,2015-09-26,15:00,Manchester Utd,Sunderland,75328,Old Trafford,Mike Jones,3,0
EPL,2015-2016,7,Sat,2015-09-26,15:00,Southampton,Swansea City,30704,St. Mary's Stadium,Roger East,3,1
EPL,2015-2016,7,Sat,2015-09-26,15:00,Stoke City,Bournemouth,27742,Bet365 Stadium,Lee Mason,2,1
EPL,2015-2016,7,Sat,2015-09-26,15:00,West Ham,Norwich City,34857,Boleyn Ground,Mike Dean,2,2
EPL,2015-2016,7,Sat,2015-09-26,17:30,Newcastle Utd,Chelsea,48682,St. James' Park,Martin Atkinson,2,2
EPL,2015-2016,7,Sun,2015-09-27,16:00,Watford,Crystal Palace,20168,Vicarage Road Stadium,Anthony Taylor,0,1
EPL,2015-2016,7,Mon,2015-09-28,20:00,West Brom,Everton,24240,The Hawthorns,Robert Madley,2,3
EPL,2015-2016,8,Sat,2015-10-03,12:45,Crystal Palace,West Brom,24033,Selhurst Park,Jonathan Moss,2,0
EPL,2015-2016,8,Sat,2015-10-03,15:00,Sunderland,West Ham,42932,Stadium of Light,Niel Swarbrick,2,2
EPL,2015-2016,8,Sat,2015-10-03,15:00,Bournemouth,Watford,11187,Vitality Stadium,Michael Oliver,1,1
EPL,2015-2016,8,Sat,2015-10-03,15:00,Norwich City,Leicester City,27067,Carrow Road,Mark Clattenburg,1,2
EPL,2015-2016,8,Sat,2015-10-03,15:00,Manchester City,Newcastle Utd,53850,Etihad Stadium,Kevin Friend,6,1
EPL,2015-2016,8,Sat,2015-10-03,15:00,Aston Villa,Stoke City,33189,Villa Park,Mike Jones,0,1
EPL,2015-2016,8,Sat,2015-10-03,17:30,Chelsea,Southampton,41642,Stamford Bridge,Robert Madley,1,3
EPL,2015-2016,8,Sun,2015-10-04,13:30,Everton,Liverpool,39598,Goodison Park,Martin Atkinson,1,1
EPL,2015-2016,8,Sun,2015-10-04,16:00,Arsenal,Manchester Utd,60084,Emirates Stadium,Anthony Taylor,3,0
EPL,2015-2016,8,Sun,2015-10-04,16:00,Swansea City,Tottenham,20845,Liberty Stadium,Mike Dean,2,2
EPL,2015-2016,9,Sat,2015-10-17,12:45,Tottenham,Liverpool,35926,White Hart Lane,Craig Pawson,0,0
EPL,2015-2016,9,Sat,2015-10-17,15:00,Southampton,Leicester City,30966,St. Mary's Stadium,Paul Tierney,2,2
EPL,2015-2016,9,Sat,2015-10-17,15:00,Crystal Palace,West Ham,24812,Selhurst Park,Mark Clattenburg,1,3
EPL,2015-2016,9,Sat,2015-10-17,15:00,Everton,Manchester Utd,39553,Goodison Park,Jonathan Moss,0,3
EPL,2015-2016,9,Sat,2015-10-17,15:00,West Brom,Sunderland,24225,The Hawthorns,Martin Atkinson,1,0
EPL,2015-2016,9,Sat,2015-10-17,15:00,Manchester City,Bournemouth,54502,Etihad Stadium,Mike Dean,5,1
EPL,2015-2016,9,Sat,2015-10-17,15:00,Chelsea,Aston Villa,41596,Stamford Bridge,Roger East,2,0
EPL,2015-2016,9,Sat,2015-10-17,17:30,Watford,Arsenal,20721,Vicarage Road Stadium,Mike Jones,0,3
EPL,2015-2016,9,Sun,2015-10-18,16:00,Newcastle Utd,Norwich City,47006,St. James' Park,Anthony Taylor,6,2
EPL,2015-2016,9,Mon,2015-10-19,20:00,Swansea City,Stoke City,20044,Liberty Stadium,Robert Madley,0,1
EPL,2015-2016,10,Sat,2015-10-24,15:00,Leicester City,Crystal Palace,31752,King Power Stadium,Mike Dean,1,0
EPL,2015-2016,10,Sat,2015-10-24,15:00,West Ham,Chelsea,34977,Boleyn Ground,Jonathan Moss,2,1
EPL,2015-2016,10,Sat,2015-10-24,15:00,Norwich City,West Brom,26983,Carrow Road,Kevin Friend,0,1
EPL,2015-2016,10,Sat,2015-10-24,15:00,Aston Villa,Swansea City,33324,Villa Park,Niel Swarbrick,1,2
EPL,2015-2016,10,Sat,2015-10-24,15:00,Stoke City,Watford,27587,Bet365 Stadium,Martin Atkinson,0,2
EPL,2015-2016,10,Sat,2015-10-24,17:30,Arsenal,Everton,59985,Emirates Stadium,Lee Mason,2,1
EPL,2015-2016,10,Sun,2015-10-25,12:00,Sunderland,Newcastle Utd,47653,Stadium of Light,Robert Madley,3,0
EPL,2015-2016,10,Sun,2015-10-25,14:05,Manchester Utd,Manchester City,75329,Old Trafford,Mark Clattenburg,0,0
EPL,2015-2016,10,Sun,2015-10-25,14:05,Bournemouth,Tottenham,11332,Vitality Stadium,Roger East,1,5
EPL,2015-2016,10,Sun,2015-10-25,16:15,Liverpool,Southampton,44171,Anfield,Andre Marriner,1,1
EPL,2015-2016,11,Sat,2015-10-31,12:45,Chelsea,Liverpool,41577,Stamford Bridge,Mark Clattenburg,1,3
EPL,2015-2016,11,Sat,2015-10-31,15:00,Swansea City,Arsenal,20937,Liberty Stadium,Kevin Friend,0,3
EPL,2015-2016,11,Sat,2015-10-31,15:00,Crystal Palace,Manchester Utd,24854,Selhurst Park,Mike Jones,0,0
EPL,2015-2016,11,Sat,2015-10-31,15:00,West Brom,Leicester City,24150,The Hawthorns,Anthony Taylor,2,3
EPL,2015-2016,11,Sat,2015-10-31,15:00,Newcastle Utd,Stoke City,47139,St. James' Park,Roger East,0,0
EPL,2015-2016,11,Sat,2015-10-31,15:00,Watford,West Ham,20598,Vicarage Road Stadium,Keith Stroud,2,0
EPL,2015-2016,11,Sat,2015-10-31,15:00,Manchester City,Norwich City,53418,Etihad Stadium,Robert Madley,2,1
EPL,2015-2016,11,Sun,2015-11-01,13:30,Everton,Sunderland,36617,Goodison Park,Andre Marriner,6,2
EPL,2015-2016,11,Sun,2015-11-01,16:00,Southampton,Bournemouth,31229,St. Mary's Stadium,Craig Pawson,2,0
EPL,2015-2016,11,Mon,2015-11-02,20:00,Tottenham,Aston Villa,34882,White Hart Lane,Mike Dean,3,1
EPL,2015-2016,12,Sat,2015-11-07,12:45,Bournemouth,Newcastle Utd,11155,Vitality Stadium,Lee Mason,0,1
EPL,2015-2016,12,Sat,2015-11-07,15:00,West Ham,Everton,34977,Boleyn Ground,Paul Tierney,1,1
EPL,2015-2016,12,Sat,2015-11-07,15:00,Manchester Utd,West Brom,75410,Old Trafford,Mike Dean,2,0
EPL,2015-2016,12,Sat,2015-11-07,15:00,Leicester City,Watford,32029,King Power Stadium,Roger East,2,1
EPL,2015-2016,12,Sat,2015-11-07,15:00,Sunderland,Southampton,41781,Stadium of Light,Mike Jones,0,1
EPL,2015-2016,12,Sat,2015-11-07,15:00,Norwich City,Swansea City,27029,Carrow Road,Mark Clattenburg,1,0
EPL,2015-2016,12,Sat,2015-11-07,17:30,Stoke City,Chelsea,27550,Bet365 Stadium,Anthony Taylor,1,0
EPL,2015-2016,12,Sun,2015-11-08,13:30,Aston Villa,Manchester City,36757,Villa Park,Craig Pawson,0,0
EPL,2015-2016,12,Sun,2015-11-08,16:00,Liverpool,Crystal Palace,44115,Anfield,Niel Swarbrick,1,2
EPL,2015-2016,12,Sun,2015-11-08,16:00,Arsenal,Tottenham,60060,Emirates Stadium,Martin Atkinson,1,1
EPL,2015-2016,13,Sat,2015-11-21,12:45,Watford,Manchester Utd,20702,Vicarage Road Stadium,Robert Madley,1,2
EPL,2015-2016,13,Sat,2015-11-21,15:00,West Brom,Arsenal,24343,The Hawthorns,Mark Clattenburg,2,1
EPL,2015-2016,13,Sat,2015-11-21,15:00,Chelsea,Norwich City,41582,Stamford Bridge,Craig Pawson,1,0
EPL,2015-2016,13,Sat,2015-11-21,15:00,Swansea City,Bournemouth,20878,Liberty Stadium,Andre Marriner,2,2
EPL,2015-2016,13,Sat,2015-11-21,15:00,Newcastle Utd,Leicester City,50151,St. James' Park,Mike Jones,0,3
EPL,2015-2016,13,Sat,2015-11-21,15:00,Everton,Aston Villa,38424,Goodison Park,Michael Oliver,4,0
EPL,2015-2016,13,Sat,2015-11-21,15:00,Southampton,Stoke City,30039,St. Mary's Stadium,Lee Mason,0,1
EPL,2015-2016,13,Sat,2015-11-21,17:30,Manchester City,Liverpool,54444,Etihad Stadium,Jonathan Moss,1,4
EPL,2015-2016,13,Sun,2015-11-22,16:00,Tottenham,West Ham,35968,White Hart Lane,Anthony Taylor,4,1
EPL,2015-2016,13,Mon,2015-11-23,20:00,Crystal Palace,Sunderland,24361,Selhurst Park,Martin Atkinson,0,1
EPL,2015-2016,14,Sat,2015-11-28,15:00,Aston Villa,Watford,35057,Villa Park,Lee Mason,2,3
EPL,2015-2016,14,Sat,2015-11-28,15:00,Bournemouth,Everton,11228,Vitality Stadium,Kevin Friend,3,3
EPL,2015-2016,14,Sat,2015-11-28,15:00,Crystal Palace,Newcastle Utd,24833,Selhurst Park,Stuart Attwell,5,1
EPL,2015-2016,14,Sat,2015-11-28,15:00,Manchester City,Southampton,54102,Etihad Stadium,Roger East,3,1
EPL,2015-2016,14,Sat,2015-11-28,15:00,Sunderland,Stoke City,41516,Stadium of Light,Mike Dean,2,0
EPL,2015-2016,14,Sat,2015-11-28,17:30,Leicester City,Manchester Utd,32115,King Power Stadium,Craig Pawson,1,1
EPL,2015-2016,14,Sun,2015-11-29,12:00,Tottenham,Chelsea,35639,White Hart Lane,Michael Oliver,0,0
EPL,2015-2016,14,Sun,2015-11-29,14:05,West Ham,West Brom,34914,Boleyn Ground,Martin Atkinson,1,1
EPL,2015-2016,14,Sun,2015-11-29,16:15,Norwich City,Arsenal,27091,Carrow Road,Jonathan Moss,1,1
EPL,2015-2016,14,Sun,2015-11-29,16:15,Liverpool,Swansea City,43905,Anfield,Anthony Taylor,1,0
EPL,2015-2016,15,Sat,2015-12-05,12:45,Stoke City,Manchester City,27264,Bet365 Stadium,Martin Atkinson,2,0
EPL,2015-2016,15,Sat,2015-12-05,15:00,Manchester Utd,West Ham,75350,Old Trafford,Mark Clattenburg,0,0
EPL,2015-2016,15,Sat,2015-12-05,15:00,Southampton,Aston Villa,29645,St. Mary's Stadium,Anthony Taylor,1,1
EPL,2015-2016,15,Sat,2015-12-05,15:00,Watford,Norwich City,20422,Vicarage Road Stadium,Mike Dean,2,0
