League,Season,Date,Team_Home,FBREFPossession_Home,FBREFSave%_Home,Goals_Home,FBREFAst_Home,FBREFPK_Home,FBREFPKatt_Home,FBREFSh_Home,FBREFSoT_Home,FBREFCrdY_Home,FBREFCrdR_Home,FBREFxg_Home,FBREFxa_Home,FBREFSCA_Home,FBREFGCA_Home,Team_Away,FBREFPossession_Away,FBREFSave%_Away,Goals_Away,FBREFAst_Away,FBREFPK_Away,FBREFPKatt_Away,FBREFSh_Away,FBREFSoT_Away,FBREFCrdY_Away,FBREFCrdR_Away,FBREFxg_away,FBREFxa_Away,FBREFSCA_Away,FBREFGCA_Away,FBREFORating_Home,FBREFDRating_Home,FBREFORating_Away,FBREFDRating_Away
Bundesliga,2017-2018,2017-10-21,RB Leipzig,58,100.0,1,1,0,0,15,3,0,0,1.0,0.7,18.0,2.0,Stuttgart,42,66.7,0,0,0,0,11,2,1,0,0.6,0.3,11.0,0.0,0.914084,0.67680705,0.78409183,0.6023233
Bundesliga,2017-2018,2017-10-21,Augsburg,48,60.0,1,1,0,0,16,5,1,0,1.4,1.0,23.0,1.0,Hannover 96,52,80.0,2,2,0,0,10,5,2,0,1.0,1.0,20.0,4.0,0.8655127,0.6291852,0.8709016,0.6990332
Bundesliga,2017-2018,2017-10-21,Eint Frankfurt,40,66.7,2,1,1,1,11,6,2,0,2.4,1.6,19.0,4.0,Dortmund,60,83.3,2,2,0,0,18,6,3,0,2.2,1.3,21.0,3.0,0.7014281,0.7552842,1.0830749,0.6303634
Bundesliga,2017-2018,2017-10-21,M'Gladbach,57,16.7,1,1,0,0,17,3,3,0,1.9,1.4,26.0,2.0,Leverkusen,43,66.7,5,5,0,0,12,6,0,0,2.4,2.4,23.0,10.0,1.0842855,0.68580806,0.66117257,0.98185503
Bundesliga,2017-2018,2017-10-21,Hamburger SV,26,75.0,0,0,0,0,7,2,1,1,0.2,0.2,5.0,0.0,Bayern Munich,74,100.0,1,1,0,0,20,4,2,0,2.3,2.1,38.0,1.0,0.66840446,0.8494234,1.35923,0.86483204
Bundesliga,2017-2018,2017-10-22,Köln,47,100.0,0,0,0,0,20,9,3,0,2.0,1.0,25.0,0.0,Werder Bremen,53,100.0,0,0,0,0,14,1,3,0,1.0,0.9,24.0,0.0,1.1334295,0.85735726,1.1333698,0.7757596
Bundesliga,2017-2018,2017-10-22,Freiburg,57,100.0,1,0,1,1,19,6,4,0,3.1,1.2,31.0,2.0,Hertha BSC,43,100.0,1,0,1,2,9,2,3,0,2.0,0.4,20.0,1.0,0.917197,0.6342972,0.7331295,0.5944903
Bundesliga,2017-2018,2017-10-22,Wolfsburg,53,100.0,1,1,0,1,14,5,1,0,1.5,0.4,16.0,2.0,Hoffenheim,47,80.0,1,0,1,1,13,4,3,0,1.9,1.1,24.0,1.0,0.80649066,0.71440375,0.7979018,0.75748205
Bundesliga,2017-2018,2017-10-27,Mainz 05,53,66.7,1,1,0,0,7,3,0,0,0.4,0.2,9.0,2.0,Eint Frankfurt,47,66.7,0,0,0,0,10,3,2,0,0.8,0.8,18.0,2.0,0.67379045,0.7187029,0.95451367,0.64871055
Bundesliga,2017-2018,2017-10-28,Schalke 04,47,50.0,1,0,1,1,13,6,4,0,1.5,0.6,24.0,1.0,Wolfsburg,53,100.0,1,1,0,1,5,2,3,0,1.3,0.6,9.0,2.0,1.2398211,1.445807,0.6487282,0.6787976
Bundesliga,2017-2018,2017-10-28,Hannover 96,35,50.0,4,2,1,1,12,6,2,0,2.6,1.4,23.0,8.0,Dortmund,65,50.0,2,0,0,0,9,4,0,1,1.0,0.8,13.0,0.0,1.2514522,0.99206895,0.9965129,0.6021245
Bundesliga,2017-2018,2017-10-28,Hertha BSC,47,75.0,2,2,0,0,8,3,2,0,0.9,0.9,13.0,3.0,Hamburger SV,53,33.3,1,1,0,0,11,4,1,0,0.8,0.7,20.0,2.0,0.6729299,0.6831768,0.9295374,0.65904397
Bundesliga,2017-2018,2017-10-28,Hoffenheim,55,50.0,1,0,0,0,17,6,2,0,1.0,0.9,26.0,0.0,M'Gladbach,45,83.3,3,3,0,0,16,6,1,0,1.8,1.6,27.0,6.0,0.8950567,0.7840017,1.1763363,0.6904686
Bundesliga,2017-2018,2017-10-28,Leverkusen,69,50.0,2,2,0,0,17,5,3,0,1.9,1.6,26.0,4.0,Köln,31,60.0,1,1,0,0,8,2,2,0,0.4,0.3,7.0,2.0,0.897632,0.7853522,0.664546,0.8316981
Bundesliga,2017-2018,2017-10-28,Bayern Munich,71,100.0,2,2,0,0,22,7,1,0,1.9,1.4,35.0,4.0,RB Leipzig,29,71.4,0,0,0,0,3,1,0,1,0.2,0.2,5.0,0.0,1.3184443,0.9319322,0.98073643,0.7978244
Bundesliga,2017-2018,2017-10-29,Werder Bremen,61,60.0,0,0,0,0,17,2,2,0,1.1,1.0,30.0,0.0,Augsburg,39,100.0,3,2,1,1,16,5,0,0,2.8,1.5,29.0,6.0,0.824967,0.87955695,1.2395663,1.0781074
Bundesliga,2017-2018,2017-10-29,Stuttgart,71,0.0,3,2,0,0,20,6,3,0,1.3,0.5,25.0,5.0,Freiburg,29,50.0,0,0,0,0,5,0,0,1,0.5,0.2,7.0,0.0,1.5662155,1.1272054,0.53590554,0.71213996
Bundesliga,2017-2018,2017-11-03,Eint Frankfurt,49,85.7,2,2,0,0,14,4,0,0,2.7,1.5,19.0,3.0,Werder Bremen,51,50.0,1,0,0,0,14,7,0,0,1.3,1.0,21.0,0.0,0.87016433,0.6300584,0.75812656,0.8334005
Bundesliga,2017-2018,2017-11-04,Augsburg,40,66.7,1,0,0,0,12,4,3,0,1.3,0.7,17.0,1.0,Leverkusen,60,75.0,1,1,0,0,10,3,2,0,0.6,0.6,20.0,2.0,0.6595291,0.9234623,0.8703854,0.72062266
Bundesliga,2017-2018,2017-11-04,Hamburger SV,73,100.0,3,2,0,0,20,11,2,0,1.6,1.3,34.0,6.0,Stuttgart,27,72.7,1,0,1,1,2,1,1,1,1.1,0.3,6.0,2.0,1.3628335,0.8008285,0.89896154,0.8225483
