League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
Bundesliga,2017-2018,M'Gladbach,2017-08-20,3974,1.0,1,1.4993067,1.0581877,Köln,0.0,0,1.1813229,0.9679902
Bundesliga,2017-2018,Freiburg,2017-08-20,3973,0.0,0,0.7684396,1.0604625,Eint Frankfurt,0.0,0,1.2191247,1.1415997
LaLiga,2017-2018,Athletic Club,2017-08-20,6939,0.0,0,0.99973667,1.1890779,Getafe,0.0,0,0.7788464,0.8900196
LaLiga,2017-2018,La Coruña,2017-08-20,6941,0.0,0,0.9523952,0.96184945,Real Madrid,3.0,1,2.82064,0.8244409
LaLiga,2017-2018,Barcelona,2017-08-20,6940,2.0,1,1.1824212,0.8957369,Betis,0.0,0,0.9826901,1.2535231
EPL,2017-2018,Manchester City,2017-08-21,1159,1.0,0,1.0706433,0.8814321,Everton,1.0,0,0.84527326,1.0287961
LaLiga,2017-2018,Levante,2017-08-21,6942,1.0,1,0.9815344,1.1039478,Villarreal,0.0,0,1.6343524,1.0933999
LaLiga,2017-2018,Málaga,2017-08-21,6943,0.0,0,0.93416566,1.2037433,Eibar,1.0,1,0.65684456,0.90531343
Bundesliga,2017-2018,Köln,2017-08-25,3975,1.0,0,1.1262852,0.7746439,Hamburger SV,3.0,1,0.944845,0.8949502
LaLiga,2017-2018,Betis,2017-08-25,6945,2.0,1,1.3586068,1.2349356,Celta Vigo,1.0,0,0.9434445,0.84334916
LaLiga,2017-2018,Real Sociedad,2017-08-25,6944,3.0,1,1.1976317,1.1311722,Villarreal,0.0,0,0.72980833,1.0472084
Ligue1,2017-2018,Paris S-G,2017-08-25,2692,3.0,1,0.57785785,0.896496,Saint-Étienne,0.0,0,1.1240524,1.0206668
Bundesliga,2017-2018,Stuttgart,2017-08-26,3976,1.0,1,1.103847,1.0654439,Mainz 05,0.0,0,0.7692449,0.91446507
Bundesliga,2017-2018,Eint Frankfurt,2017-08-26,3977,0.0,0,0.91050804,0.93963355,Wolfsburg,1.0,1,1.0314928,0.976551
Ligue1,2017-2018,Nantes,2017-08-26,2693,0.0,0,1.2011695,0.89539194,Lyon,0.0,0,1.525651,0.8766164
Ligue1,2017-2018,Toulouse,2017-08-26,2694,3.0,1,0.89523935,0.9865597,Rennes,2.0,0,1.198094,0.9272141
Ligue1,2017-2018,Caen,2017-08-26,2695,1.0,1,0.9957315,0.862547,Metz,0.0,0,0.76061946,0.929744
Ligue1,2017-2018,Amiens,2017-08-26,2696,3.0,1,1.2562094,0.8870372,Nice,0.0,0,0.8755197,0.7932568
Ligue1,2017-2018,Bordeaux,2017-08-26,2697,2.0,1,0.7876811,1.2411621,Troyes,1.0,0,0.99551857,0.86548775
Ligue1,2017-2018,Dijon,2017-08-26,2698,2.0,1,0.8171693,0.832871,Montpellier,1.0,0,0.84107864,0.8474298
Bundesliga,2017-2018,Werder Bremen,2017-08-26,3978,0.0,0,0.72414035,1.0155777,Bayern Munich,2.0,1,2.1853993,0.712555
Bundesliga,2017-2018,Augsburg,2017-08-26,3979,2.0,0,1.3322618,1.0083297,M'Gladbach,2.0,0,1.5650516,0.9952984
Bundesliga,2017-2018,Leverkusen,2017-08-26,3980,2.0,0,0.88711476,0.9548804,Hoffenheim,2.0,0,1.0919579,0.97467464
Bundesliga,2017-2018,Dortmund,2017-08-26,3981,2.0,1,1.5289714,0.77454865,Hertha BSC,0.0,0,1.0646396,0.96862817
EPL,2017-2018,Bournemouth,2017-08-26,1160,1.0,0,0.8834818,1.003447,Manchester City,2.0,1,1.0328364,0.8578079
EPL,2017-2018,Manchester Utd,2017-08-26,1165,2.0,1,1.5948179,0.8549412,Leicester City,0.0,0,0.86125755,0.92233896
EPL,2017-2018,Newcastle Utd,2017-08-26,1164,3.0,1,1.0333359,0.944378,West Ham,0.0,0,0.64490616,1.1557727
EPL,2017-2018,Huddersfield,2017-08-26,1163,0.0,0,0.7746936,1.0692644,Southampton,0.0,0,0.6843559,1.0804265
LaLiga,2017-2018,Las Palmas,2017-08-26,6949,1.0,0,1.6266782,0.8147714,Atlético Madrid,5.0,1,1.2367895,1.1777347
SerieA,2017-2018,Roma,2017-08-26,5426,1.0,0,0.7886963,1.022198,Inter,3.0,1,1.9997201,1.0743845
SerieA,2017-2018,Genoa,2017-08-26,5425,2.0,0,0.9893306,1.1554575,Juventus,4.0,1,2.5944793,0.7438647
SerieA,2017-2018,Benevento,2017-08-26,5424,0.0,0,0.7365207,0.8027006,Bologna,1.0,1,1.0621645,0.8551798
EPL,2017-2018,Crystal Palace,2017-08-26,1161,0.0,0,1.2015324,0.85459465,Swansea City,2.0,1,0.7905983,0.8714826
LaLiga,2017-2018,Levante,2017-08-26,6948,2.0,0,1.025961,0.99503005,La Coruña,2.0,0,1.4917723,0.9350699
LaLiga,2017-2018,Girona,2017-08-26,6947,1.0,1,0.8357762,1.0881033,Málaga,0.0,0,0.8584223,1.1408108
LaLiga,2017-2018,Alavés,2017-08-26,6946,0.0,0,1.0447843,0.9192306,Barcelona,2.0,1,1.1152097,0.91829556
EPL,2017-2018,Watford,2017-08-26,1162,0.0,0,0.81210816,0.945034,Brighton,0.0,0,1.7404053,1.3843642
Bundesliga,2017-2018,RB Leipzig,2017-08-27,3982,4.0,1,1.9815011,0.8915086,Freiburg,1.0,0,0.97181344,0.96049553
Bundesliga,2017-2018,Hannover 96,2017-08-27,3983,1.0,1,0.84518784,1.0177003,Schalke 04,0.0,0,0.6768217,0.96655935
EPL,2017-2018,Chelsea,2017-08-27,1167,2.0,1,1.4624295,0.73377573,Everton,0.0,0,0.91710687,1.1769383
SerieA,2017-2018,Napoli,2017-08-27,5430,3.0,1,1.3306701,0.8633828,Atalanta,1.0,0,0.7584694,1.0039277
SerieA,2017-2018,Fiorentina,2017-08-27,5431,1.0,0,1.2859765,1.0197934,Sampdoria,2.0,1,1.2298222,0.896776
SerieA,2017-2018,Milan,2017-08-27,5432,2.0,1,1.027416,0.97849375,Cagliari,1.0,0,0.40973142,1.1546202
LaLiga,2017-2018,Eibar,2017-08-27,6951,0.0,0,0.68150616,1.0156963,Athletic Club,1.0,1,0.8674406,1.0692043
Ligue1,2017-2018,Monaco,2017-08-27,2701,6.0,1,1.1207125,0.97166014,Marseille,1.0,0,1.180621,1.2630728
Ligue1,2017-2018,Angers,2017-08-27,2700,1.0,0,0.73520434,0.9567686,Lille,1.0,0,0.9364738,0.9257161
Ligue1,2017-2018,Guingamp,2017-08-27,2699,2.0,1,1.4367149,0.9407569,Strasbourg,0.0,0,0.80183256,0.994178
SerieA,2017-2018,SPAL,2017-08-27,5429,3.0,1,0.96082187,0.88317525,Udinese,2.0,0,1.1593215,0.8528561
LaLiga,2017-2018,Real Madrid,2017-08-27,6953,2.0,0,1.9553785,0.8762433,Valencia,2.0,0,1.7004025,0.71261096
LaLiga,2017-2018,Espanyol,2017-08-27,6950,0.0,0,0.88748085,0.8314844,Leganés,1.0,1,1.6825459,0.89518195
EPL,2017-2018,West Brom,2017-08-27,1166,1.0,0,0.84773815,0.9551427,Stoke City,1.0,0,1.0668749,1.0160887
SerieA,2017-2018,Chievo,2017-08-27,5428,1.0,0,1.284858,0.8726457,Lazio,2.0,1,0.85352033,0.82063293
SerieA,2017-2018,Crotone,2017-08-27,5433,0.0,0,0.86566675,0.80988944,Hellas Verona,0.0,0,0.7552486,1.0205709
LaLiga,2017-2018,Getafe,2017-08-27,6952,0.0,0,0.8072363,0.99074066,Sevilla,1.0,1,1.0950959,1.016086
EPL,2017-2018,Tottenham,2017-08-27,1168,1.0,0,1.2931595,0.6957338,Burnley,1.0,0,1.3005216,0.9601303
EPL,2017-2018,Liverpool,2017-08-27,1169,4.0,1,1.4895175,0.8639918,Arsenal,0.0,0,1.385335,0.9528918
SerieA,2017-2018,Torino,2017-08-27,5427,3.0,1,0.75096333,1.2342905,Sassuolo,0.0,0,0.9975591,0.8995036
LaLiga,2017-2018,Leganés,2017-09-08,6954,1.0,0,0.64670277,1.0545251,Getafe,2.0,1,0.8253361,0.8573444
Ligue1,2017-2018,Lille,2017-09-08,2702,0.0,0,0.9983421,0.8846512,Bordeaux,0.0,0,1.2054516,0.9753105
Bundesliga,2017-2018,Hamburger SV,2017-09-08,3984,0.0,0,0.8926638,0.88518316,RB Leipzig,2.0,1,1.2108244,0.9348761
Ligue1,2017-2018,Metz,2017-09-08,2703,1.0,0,0.91876197,0.8023778,Paris S-G,5.0,1,2.7673774,0.6342602
Ligue1,2017-2018,Strasbourg,2017-09-09,2705,0.0,0,0.78204834,0.96235156,Amiens,1.0,1,0.95721817,0.8405788
