0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
11,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-157,1989,25,13,"1,378",15.3,0,4,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,1.1,1.1,3.5,4.6,0.07,0.23,0.30,0.07,0.30,Matches
12,Thiago Alcántara,es ESP,MF,Liverpool,30-013,1991,18,14,"1,328",14.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.4,2.0,0.04,0.10,0.13,0.04,0.13,Matches
13,Toby Alderweireld,be BEL,DF,Tottenham,32-053,1989,20,20,"1,790",19.9,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.2,0.9,0.03,0.01,0.05,0.03,0.05,Matches
14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,26-065,1995,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-199,1998,30,28,"2,491",27.7,2,5,2,0,0,1,0,0.07,0.18,0.25,0.07,0.25,2.0,2.0,5.6,7.6,0.07,0.20,0.28,0.07,0.28,Matches
16,Ezgjan Alioski,mk MKD,DF,Leeds United,29-071,1992,30,23,"1,966",21.8,2,1,2,0,0,6,0,0.09,0.05,0.14,0.09,0.14,1.3,1.3,2.2,3.5,0.06,0.10,0.16,0.06,0.16,Matches
17,Alisson,br BRA,GK,Liverpool,28-204,1992,27,27,"2,430",27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Allan,br BRA,MF,Everton,30-106,1991,18,17,"1,511",16.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches
19,Dele Alli,eng ENG,MF,Tottenham,25-013,1996,10,2,239,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.19,0.07,0.26,0.19,0.26,Matches
20,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27-073,1994,28,22,"1,927",21.4,4,1,4,0,0,2,0,0.19,0.05,0.23,0.19,0.23,3.1,3.1,2.3,5.4,0.14,0.11,0.25,0.14,0.25,Matches
21,Marcos Alonso,es ESP,DF,Chelsea,30-117,1990,11,10,860,9.6,1,0,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,1.1,1.1,1.1,2.2,0.12,0.11,0.23,0.12,0.23,Matches
22,Steven Alzate,co COL,"MF,DF",Brighton,22-228,1998,12,8,741,8.2,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.6,0.6,0.4,1.0,0.07,0.05,0.12,0.07,0.12,Matches
23,Daniel Amartey,gh GHA,DF,Leicester City,26-124,1994,12,8,722,8.0,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.4,0.4,0.0,0.4,0.05,0.00,0.05,0.05,0.05,Matches
24,Ethan Ampadu,wal WAL,"DF,MF",Sheffield Utd,20-222,2000,25,23,"2,089",23.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.3,0.01,0.04,0.06,0.01,0.06,Matches
25,Joachim Andersen,dk DEN,DF,Fulham,24-328,1996,27,27,"2,401",26.7,1,1,1,0,0,6,1,0.04,0.04,0.07,0.04,0.07,0.8,0.8,0.5,1.2,0.03,0.02,0.05,0.03,0.05,Matches
26,Elliot Anderson,sco SCO,MF,Newcastle Utd,18-169,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Felipe Anderson,br BRA,"FW,MF",West Ham,28-009,1993,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Michail Antonio,eng ENG,FW,West Ham,31-027,1990,21,19,"1,546",17.2,7,5,7,0,0,3,0,0.41,0.29,0.70,0.41,0.70,9.5,9.5,2.0,11.4,0.55,0.11,0.67,0.55,0.67,Matches
29,Alphonse Areola,fr FRA,GK,Fulham,28-056,1993,32,32,"2,880",32.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Stuart Armstrong,sco SCO,MF,Southampton,29-025,1992,27,26,"2,237",24.9,4,4,4,0,0,3,0,0.16,0.16,0.32,0.16,0.32,2.6,2.6,2.2,4.8,0.10,0.09,0.19,0.10,0.19,Matches
31,Kepa Arrizabalaga,es ESP,GK,Chelsea,26-203,1994,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
