League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,370,Paul Pogba,fr FRA,MF,Manchester Utd,25,1993,35,34,"3,006",33.4,0.39,0.27,0.66,0.18,0.45
EPL,2018-2019,371,Alex Pritchard,eng ENG,"MF,FW",Huddersfield,25,1993,30,26,"2,081",23.1,0.09,0.00,0.09,0.09,0.09
EPL,2018-2019,372,Sebastian Prödl,at AUT,DF,Watford,31,1987,1,0,13,0.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,373,Davy Pröpper,nl NED,MF,Brighton,26,1991,30,30,"2,546",28.3,0.04,0.04,0.07,0.04,0.07
EPL,2018-2019,374,Jason Puncheon,eng ENG,MF,Crystal Palace,32,1986,5,0,13,0.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,375,Jason Puncheon,eng ENG,"MF,FW",Huddersfield,32,1986,6,5,382,4.2,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,376,Collin Quaner,de GER,"FW,MF",Huddersfield,27,1991,2,0,39,0.4,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,377,Domingos Quina,pt POR,MF,Watford,18,1999,8,3,338,3.8,0.27,0.00,0.27,0.27,0.27
EPL,2018-2019,378,Joe Ralls,eng ENG,MF,Cardiff City,24,1993,28,22,"1,959",21.8,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,379,Aaron Ramsey,wal WAL,"MF,FW",Arsenal,27,1990,28,14,"1,331",14.8,0.27,0.41,0.68,0.27,0.68
EPL,2018-2019,380,Kayne Ramsey,eng ENG,DF,Southampton,17,2000,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,381,Marcus Rashford,eng ENG,FW,Manchester Utd,20,1997,33,26,"2,334",25.9,0.39,0.23,0.62,0.39,0.62
EPL,2018-2019,382,Tim Ream,us USA,DF,Fulham,30,1987,26,25,"2,047",22.7,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,383,Nathan Redmond,eng ENG,"FW,MF",Southampton,24,1994,38,36,"3,270",36.3,0.17,0.11,0.28,0.17,0.28
