League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,192,Rekeem Harper,eng ENG,MF,West Brom,17,2000,1,0,21,0.2,0.00,0.19,0.19,0.00,0.19
EPL,2017-2018,193,Joe Hart,eng ENG,GK,West Ham,30,1987,19,19,"1,710",19.0,0.00,0.04,0.04,0.00,0.04
EPL,2017-2018,194,Isaac Hayden,eng ENG,MF,Newcastle Utd,22,1995,26,15,"1,374",15.3,0.06,0.06,0.12,0.06,0.12
EPL,2017-2018,195,Eden Hazard,be BEL,"FW,MF",Chelsea,26,1991,34,28,"2,422",26.9,0.29,0.26,0.55,0.24,0.50
EPL,2017-2018,196,Tom Heaton,eng ENG,GK,Burnley,31,1986,4,4,305,3.4,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,197,Michael Hefele,de GER,DF,Huddersfield,26,1990,2,0,33,0.4,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,198,Ahmed Hegazi,eg EGY,DF,West Brom,26,1991,38,38,"3,386",37.6,0.04,0.01,0.05,0.04,0.05
EPL,2017-2018,199,Tomer Hemed,il ISR,FW,Brighton,30,1987,16,9,849,9.4,0.21,0.03,0.24,0.21,0.24
EPL,2017-2018,200,Jordan Henderson,eng ENG,MF,Liverpool,27,1990,27,25,"2,171",24.1,0.05,0.08,0.13,0.05,0.13
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,201,Jeff Hendrick,ie IRL,"MF,FW",Burnley,25,1992,34,29,"2,331",25.9,0.12,0.06,0.18,0.12,0.18
EPL,2017-2018,202,Wayne Hennessey,wal WAL,GK,Crystal Palace,30,1987,27,27,"2,430",27.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,203,Javier Hernández,mx MEX,FW,West Ham,29,1988,28,16,"1,548",17.2,0.29,0.10,0.39,0.29,0.39
EPL,2017-2018,204,Ander Herrera,es ESP,MF,Manchester Utd,27,1989,26,13,"1,268",14.1,0.03,0.08,0.12,0.03,0.12
EPL,2017-2018,205,Son Heung-min,kr KOR,"FW,MF",Tottenham,25,1992,37,27,"2,317",25.7,0.39,0.19,0.58,0.39,0.58
EPL,2017-2018,206,Wesley Hoedt,nl NED,DF,Southampton,23,1994,28,28,"2,520",28.0,0.05,0.03,0.08,0.05,0.08
EPL,2017-2018,207,Jonathan Hogg,eng ENG,MF,Huddersfield,28,1988,30,29,"2,398",26.6,0.02,0.02,0.04,0.02,0.04
EPL,2017-2018,208,Rob Holding,eng ENG,DF,Arsenal,21,1995,12,9,822,9.1,0.01,0.00,0.02,0.01,0.02
EPL,2017-2018,209,José Holebas,gr GRE,"DF,MF",Watford,33,1984,28,26,"2,382",26.5,0.02,0.15,0.17,0.02,0.17
EPL,2017-2018,210,Mason Holgate,eng ENG,DF,Everton,20,1996,15,13,"1,184",13.2,0.04,0.04,0.08,0.04,0.08
EPL,2017-2018,211,Callum Hudson-Odoi,eng ENG,FW,Chelsea,16,2000,2,0,29,0.3,0.15,0.00,0.15,0.15,0.15
EPL,2017-2018,212,Will Hughes,eng ENG,"MF,FW",Watford,22,1995,15,11,990,11.0,0.08,0.14,0.22,0.08,0.22
EPL,2017-2018,213,Jordan Hugill,eng ENG,FW,West Ham,25,1992,3,0,25,0.3,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,214,Uwe Hünemeier,de GER,DF,Brighton,31,1986,1,0,18,0.2,0.00,0.00,0.00,0.00,0.00
