League,Season,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
Ligue1,2019-2020,8,Sat,2019-09-28,13:30,Lyon,1.4,0.4,Nantes,46647,Groupama Stadium,Benoît Millot,https://fbref.com/en/matches/b4eded32/Lyon-Nantes-September-28-2019-Ligue-1,0,1
Ligue1,2019-2020,8,Sat,2019-09-28,17:30,Bordeaux,0.1,3.1,Paris S-G,39215,Stade Matmut-Atlantique,Jérôme Brisard,https://fbref.com/en/matches/34b060d7/Bordeaux-Paris-Saint-Germain-September-28-2019-Ligue-1,0,1
Ligue1,2019-2020,8,Sat,2019-09-28,20:00,Metz,1.7,1.0,Toulouse,15054,Stade Saint-Symphorien,Florent Batta,https://fbref.com/en/matches/497adb3d/Metz-Toulouse-September-28-2019-Ligue-1,2,2
Ligue1,2019-2020,8,Sat,2019-09-28,20:00,Reims,1.7,1.6,Dijon,11033,Stade Auguste-Delaune II,Jérémie Pignard,https://fbref.com/en/matches/11427784/Reims-Dijon-September-28-2019-Ligue-1,1,2
Ligue1,2019-2020,8,Sat,2019-09-28,20:00,Monaco,3.9,0.6,Brest,4576,Stade Louis II.,Ruddy Buquet,https://fbref.com/en/matches/6897ba5f/Monaco-Brest-September-28-2019-Ligue-1,4,1
Ligue1,2019-2020,8,Sat,2019-09-28,20:00,Angers,0.9,0.9,Amiens,9331,Stade Raymond Kopa,Karim Abed,https://fbref.com/en/matches/a78642fc/Angers-Amiens-September-28-2019-Ligue-1,1,1
Ligue1,2019-2020,8,Sat,2019-09-28,20:00,Nice,0.9,1.4,Lille,18295,Stade de Nice,Clément Turpin,https://fbref.com/en/matches/60d0b499/Nice-Lille-September-28-2019-Ligue-1,1,1
Ligue1,2019-2020,8,Sun,2019-09-29,15:00,Strasbourg,0.5,1.5,Montpellier,25010,Stade de la Meinau,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/b36ebf72/Strasbourg-Montpellier-September-29-2019-Ligue-1,1,0
Ligue1,2019-2020,8,Sun,2019-09-29,17:00,Nîmes,1.7,0.9,Saint-Étienne,13802,Stade des Costières,Thomas Léonard,https://fbref.com/en/matches/29153323/Nimes-Saint-Etienne-September-29-2019-Ligue-1,0,1
Ligue1,2019-2020,8,Sun,2019-09-29,21:00,Marseille,0.8,1.0,Rennes,44281,Orange Vélodrome,Franck Schneider,https://fbref.com/en/matches/8e2959e7/Marseille-Rennes-September-29-2019-Ligue-1,1,1
Ligue1,2019-2020,9,Fri,2019-10-04,20:45,Amiens,2.2,0.4,Marseille,12737,Stade de la Licorne,Johan Hamel,https://fbref.com/en/matches/e99f67f2/Amiens-Marseille-October-4-2019-Ligue-1,3,1
Ligue1,2019-2020,9,Sat,2019-10-05,17:30,Paris S-G,3.0,0.6,Angers,47700,Parc des Princes,Willy Delajod,https://fbref.com/en/matches/1045dfef/Paris-Saint-Germain-Angers-October-5-2019-Ligue-1,4,0
Ligue1,2019-2020,9,Sat,2019-10-05,20:00,Montpellier,2.4,1.3,Monaco,15532,Stade de la Mosson,François Letexier,https://fbref.com/en/matches/06871282/Montpellier-Monaco-October-5-2019-Ligue-1,3,1
Ligue1,2019-2020,9,Sat,2019-10-05,20:00,Nantes,1.8,0.4,Nice,15532,Stade de la Beaujoire - Louis Fonteneau,Amaury Delerue,https://fbref.com/en/matches/ce5358d6/Nantes-Nice-October-5-2019-Ligue-1,1,0
Ligue1,2019-2020,9,Sat,2019-10-05,20:00,Dijon,1.1,1.0,Strasbourg,12124,Stade Gaston Gérard,Olivier Thual,https://fbref.com/en/matches/3f92cf75/Dijon-Strasbourg-October-5-2019-Ligue-1,1,0
Ligue1,2019-2020,9,Sat,2019-10-05,20:00,Toulouse,0.9,0.7,Bordeaux,20084,Stadium Municipal,Benoît Bastien,https://fbref.com/en/matches/d9af748d/Toulouse-Bordeaux-October-5-2019-Ligue-1,1,3
Ligue1,2019-2020,9,Sat,2019-10-05,20:00,Brest,0.7,0.5,Metz,12682,Stade Francis-Le Blé,Antony Gautier,https://fbref.com/en/matches/d403980d/Brest-Metz-October-5-2019-Ligue-1,2,0
Ligue1,2019-2020,9,Sun,2019-10-06,15:00,Lille,2.7,1.5,Nîmes,31542,Stade Pierre-Mauroy,Mikael Lesage,https://fbref.com/en/matches/9827f912/Lille-Nimes-October-6-2019-Ligue-1,2,2
Ligue1,2019-2020,9,Sun,2019-10-06,17:00,Rennes,1.3,1.1,Reims,20950,Roazhon Park,Stéphanie Frappart,https://fbref.com/en/matches/23bbcc52/Rennes-Reims-October-6-2019-Ligue-1,0,1
Ligue1,2019-2020,9,Sun,2019-10-06,21:00,Saint-Étienne,0.5,0.5,Lyon,34071,Stade Geoffroy-Guichard,Clément Turpin,https://fbref.com/en/matches/489aa2c8/Saint-Etienne-Lyon-October-6-2019-Ligue-1,1,0
Ligue1,2019-2020,10,Fri,2019-10-18,20:45,Nice,1.2,3.3,Paris S-G,32705,Stade de Nice,François Letexier,https://fbref.com/en/matches/069913fd/Nice-Paris-Saint-Germain-October-18-2019-Ligue-1,1,4
Ligue1,2019-2020,10,Sat,2019-10-19,17:30,Lyon,2.4,0.6,Dijon,48454,Groupama Stadium,Franck Schneider,https://fbref.com/en/matches/f3aa05f9/Lyon-Dijon-October-19-2019-Ligue-1,0,0
Ligue1,2019-2020,10,Sat,2019-10-19,20:00,Toulouse,2.8,0.8,Lille,12277,Stadium Municipal,Stéphanie Frappart,https://fbref.com/en/matches/72079474/Toulouse-Lille-October-19-2019-Ligue-1,2,1
Ligue1,2019-2020,10,Sat,2019-10-19,20:00,Metz,1.1,0.5,Nantes,16533,Stade Saint-Symphorien,Jérémie Pignard,https://fbref.com/en/matches/3c860a3a/Metz-Nantes-October-19-2019-Ligue-1,1,0
Ligue1,2019-2020,10,Sat,2019-10-19,20:00,Reims,0.7,0.5,Montpellier,12187,Stade Auguste-Delaune II,Florent Batta,https://fbref.com/en/matches/722e8fe6/Reims-Montpellier-October-19-2019-Ligue-1,1,0
Ligue1,2019-2020,10,Sat,2019-10-19,20:00,Angers,1.8,0.2,Brest,10369,Stade Raymond Kopa,Eric Wattellier,https://fbref.com/en/matches/f4521631/Angers-Brest-October-19-2019-Ligue-1,0,1
Ligue1,2019-2020,10,Sat,2019-10-19,20:00,Nîmes,0.6,1.4,Amiens,12189,Stade des Costières,Jeremy Stinat,https://fbref.com/en/matches/dc28b8e0/Nimes-Amiens-October-19-2019-Ligue-1,1,1
Ligue1,2019-2020,10,Sun,2019-10-20,15:00,Bordeaux,0.9,0.9,Saint-Étienne,25952,Stade Matmut-Atlantique,Ruddy Buquet,https://fbref.com/en/matches/e67d0f70/Bordeaux-Saint-Etienne-October-20-2019-Ligue-1,0,1
Ligue1,2019-2020,10,Sun,2019-10-20,17:00,Monaco,1.7,1.8,Rennes,6763,Stade Louis II.,Jérôme Brisard,https://fbref.com/en/matches/227e5809/Monaco-Rennes-October-20-2019-Ligue-1,3,2
Ligue1,2019-2020,10,Sun,2019-10-20,21:00,Marseille,1.4,0.4,Strasbourg,50203,Orange Vélodrome,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/c8e0282b/Marseille-Strasbourg-October-20-2019-Ligue-1,2,0
Ligue1,2019-2020,11,Fri,2019-10-25,20:45,Nantes,1.6,0.8,Monaco,30656,Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,https://fbref.com/en/matches/611e5767/Nantes-Monaco-October-25-2019-Ligue-1,0,1
Ligue1,2019-2020,11,Sat,2019-10-26,17:30,Lille,1.6,0.3,Bordeaux,35925,Stade Pierre-Mauroy,Willy Delajod,https://fbref.com/en/matches/ae3fff65/Lille-Bordeaux-October-26-2019-Ligue-1,3,0
Ligue1,2019-2020,11,Sat,2019-10-26,20:00,Lyon,1.7,0.7,Metz,48889,Groupama Stadium,Johan Hamel,https://fbref.com/en/matches/43557cfb/Lyon-Metz-October-26-2019-Ligue-1,2,0
Ligue1,2019-2020,11,Sat,2019-10-26,20:00,Montpellier,1.0,0.8,Angers,12678,Stade de la Mosson,Benoît Millot,https://fbref.com/en/matches/dcb21e47/Montpellier-Angers-October-26-2019-Ligue-1,0,0
Ligue1,2019-2020,11,Sat,2019-10-26,20:00,Reims,0.6,0.5,Nîmes,12329,Stade Auguste-Delaune II,Clément Turpin,https://fbref.com/en/matches/85daa283/Reims-Nimes-October-26-2019-Ligue-1,0,0
Ligue1,2019-2020,11,Sat,2019-10-26,20:00,Brest,1.5,1.4,Dijon,14232,Stade Francis-Le Blé,Jérémie Pignard,https://fbref.com/en/matches/d2906fab/Brest-Dijon-October-26-2019-Ligue-1,2,0
Ligue1,2019-2020,11,Sat,2019-10-26,20:00,Strasbourg,1.9,0.6,Nice,25007,Stade de la Meinau,Mikael Lesage,https://fbref.com/en/matches/72816286/Strasbourg-Nice-October-26-2019-Ligue-1,1,0
Ligue1,2019-2020,11,Sun,2019-10-27,15:00,Rennes,1.6,1.5,Toulouse,22918,Roazhon Park,Antony Gautier,https://fbref.com/en/matches/7fbe4c70/Rennes-Toulouse-October-27-2019-Ligue-1,3,2
Ligue1,2019-2020,11,Sun,2019-10-27,17:00,Saint-Étienne,0.8,1.7,Amiens,18877,Stade Geoffroy-Guichard,Amaury Delerue,https://fbref.com/en/matches/296bee41/Saint-Etienne-Amiens-October-27-2019-Ligue-1,2,2
Ligue1,2019-2020,11,Sun,2019-10-27,21:00,Paris S-G,3.3,0.9,Marseille,47926,Parc des Princes,Benoît Bastien,https://fbref.com/en/matches/cc3d6ed7/Paris-Saint-Germain-Marseille-October-27-2019-Ligue-1,4,0
Ligue1,2019-2020,12,Fri,2019-11-01,20:45,Dijon,0.7,2.6,Paris S-G,14859,Stade Gaston Gérard,Ruddy Buquet,https://fbref.com/en/matches/e402000b/Dijon-Paris-Saint-Germain-November-1-2019-Ligue-1,2,1
Ligue1,2019-2020,12,Sat,2019-11-02,17:30,Marseille,0.9,0.5,Lille,53321,Orange Vélodrome,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/8a98eb80/Marseille-Lille-November-2-2019-Ligue-1,2,1
Ligue1,2019-2020,12,Sat,2019-11-02,20:00,Angers,1.2,1.3,Strasbourg,9681,Stade Raymond Kopa,Florent Batta,https://fbref.com/en/matches/fa414126/Angers-Strasbourg-November-2-2019-Ligue-1,1,0
Ligue1,2019-2020,12,Sat,2019-11-02,20:00,Metz,1.7,0.9,Montpellier,14644,Stade Saint-Symphorien,Stéphanie Frappart,https://fbref.com/en/matches/732b8271/Metz-Montpellier-November-2-2019-Ligue-1,2,2
