League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2018-2019,12,Luke Amos,eng ENG,MF,Tottenham,21,1997,https://fbref.com/en/players/77128f7e/matchlogs/2018-2019/summary/Luke-Amos-Match-Logs
EPL,2018-2019,13,Felipe Anderson,br BRA,"FW,MF",West Ham,25,1993,https://fbref.com/en/players/9f1893b9/matchlogs/2018-2019/summary/Felipe-Anderson-Match-Logs
EPL,2018-2019,14,Florin Andone,ro ROU,FW,Brighton,25,1993,https://fbref.com/en/players/dc008610/matchlogs/2018-2019/summary/Florin-Andone-Match-Logs
EPL,2018-2019,15,Michail Antonio,eng ENG,"FW,MF",West Ham,28,1990,https://fbref.com/en/players/ac05f970/matchlogs/2018-2019/summary/Michail-Antonio-Match-Logs
EPL,2018-2019,16,Stuart Armstrong,sco SCO,"MF,FW",Southampton,26,1992,https://fbref.com/en/players/97333cf5/matchlogs/2018-2019/summary/Stuart-Armstrong-Match-Logs
EPL,2018-2019,17,Marko Arnautović,at AUT,FW,West Ham,29,1989,https://fbref.com/en/players/00459419/matchlogs/2018-2019/summary/Marko-Arnautovic-Match-Logs
EPL,2018-2019,18,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,https://fbref.com/en/players/28d596a0/matchlogs/2018-2019/summary/Kepa-Arrizabalaga-Match-Logs
EPL,2018-2019,19,Harry Arter,ie IRL,MF,Cardiff City,28,1989,https://fbref.com/en/players/2f4c5a52/matchlogs/2018-2019/summary/Harry-Arter-Match-Logs
EPL,2018-2019,20,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,26,1992,https://fbref.com/en/players/8816329f/matchlogs/2018-2019/summary/Christian-Atsu-Match-Logs
EPL,2018-2019,21,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,29,1989,https://fbref.com/en/players/d5dd5f1f/matchlogs/2018-2019/summary/Pierre-Emerick-Aubameyang-Match-Logs
EPL,2018-2019,22,Serge Aurier,ci CIV,"DF,MF",Tottenham,25,1992,https://fbref.com/en/players/5c2b4f07/matchlogs/2018-2019/summary/Serge-Aurier-Match-Logs
EPL,2018-2019,23,Charlie Austin,eng ENG,FW,Southampton,29,1989,https://fbref.com/en/players/8d228291/matchlogs/2018-2019/summary/Charlie-Austin-Match-Logs
EPL,2018-2019,24,Jordan Ayew,gh GHA,FW,Crystal Palace,26,1991,https://fbref.com/en/players/da052c14/matchlogs/2018-2019/summary/Jordan-Ayew-Match-Logs
EPL,2018-2019,25,Floyd Ayité,tg TOG,"FW,MF",Fulham,29,1988,https://fbref.com/en/players/fd5888a0/matchlogs/2018-2019/summary/Floyd-Ayite-Match-Logs
