League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
Ligue1,2017-2018,Caen,2017-08-26,2695,1.0,1,0.7351161,0.9754746,Metz,0.0,0,0.004632145,0.7877696
Ligue1,2017-2018,Amiens,2017-08-26,2696,3.0,1,1.1329156,0.8584411,Nice,0.0,0,0.33361897,0.78928876
Ligue1,2017-2018,Bordeaux,2017-08-26,2697,2.0,1,0.71287805,1.436187,Troyes,1.0,0,0.4673409,1.0938152
Ligue1,2017-2018,Dijon,2017-08-26,2698,2.0,1,0.0,1.2671728,Montpellier,1.0,0,0.5626693,0.8760173
Bundesliga,2017-2018,Werder Bremen,2017-08-26,3978,0.0,0,0.09295269,0.78877,Bayern Munich,2.0,1,2.3884225,1.3506242
Bundesliga,2017-2018,Augsburg,2017-08-26,3979,2.0,0,0.7607127,0.8538509,M'Gladbach,2.0,0,1.1913743,0.8335322
Bundesliga,2017-2018,Leverkusen,2017-08-26,3980,2.0,0,0.004679285,0.901502,Hoffenheim,2.0,0,0.19275019,0.8059152
Bundesliga,2017-2018,Dortmund,2017-08-26,3981,2.0,1,1.1469634,0.75396025,Hertha BSC,0.0,0,0.52136344,0.77617604
EPL,2017-2018,Bournemouth,2017-08-26,1160,1.0,0,0.0,0.9365732,Manchester City,2.0,1,0.7597797,1.0015681
EPL,2017-2018,Manchester Utd,2017-08-26,1165,2.0,1,1.9875834,1.1508603,Leicester City,0.0,0,0.5154324,0.98576933
EPL,2017-2018,Newcastle Utd,2017-08-26,1164,3.0,1,0.6457099,0.851852,West Ham,0.0,0,0.11165754,1.5386248
EPL,2017-2018,Huddersfield,2017-08-26,1163,0.0,0,0.23308408,1.0207465,Southampton,0.0,0,0.42194518,0.78860873
LaLiga,2017-2018,Las Palmas,2017-08-26,6949,1.0,0,2.1826663,2.136208,Atlético Madrid,5.0,1,0.78668857,1.4032209
SerieA,2017-2018,Roma,2017-08-26,5426,1.0,0,0.30445158,1.0407603,Inter,3.0,1,1.540264,1.1190487
SerieA,2017-2018,Genoa,2017-08-26,5425,2.0,0,0.4195174,1.363519,Juventus,4.0,1,2.4986305,0.7968135
SerieA,2017-2018,Benevento,2017-08-26,5424,0.0,0,0.02592422,0.93409735,Bologna,1.0,1,0.05365461,0.68073297
EPL,2017-2018,Crystal Palace,2017-08-26,1161,0.0,0,0.69551194,0.9715463,Swansea City,2.0,1,0.048569568,0.87260795
LaLiga,2017-2018,Levante,2017-08-26,6948,2.0,0,0.49124637,1.1629313,La Coruña,2.0,0,0.90043056,0.9701522
LaLiga,2017-2018,Girona,2017-08-26,6947,1.0,1,0.2867927,1.1010249,Málaga,0.0,0,0.2389946,1.2333124
LaLiga,2017-2018,Alavés,2017-08-26,6946,0.0,0,0.80896556,0.77702755,Barcelona,2.0,1,1.9256225,1.5063226
EPL,2017-2018,Watford,2017-08-26,1162,0.0,0,0.0,0.77617604,Brighton,0.0,0,1.5039054,1.467519
Bundesliga,2017-2018,RB Leipzig,2017-08-27,3982,4.0,1,2.306495,1.4164944,Freiburg,1.0,0,0.4727063,0.83415705
Bundesliga,2017-2018,Hannover 96,2017-08-27,3983,1.0,1,0.30504996,0.97519624,Schalke 04,0.0,0,0.20190713,0.8053039
EPL,2017-2018,Chelsea,2017-08-27,1167,2.0,1,0.8241719,1.0675238,Everton,0.0,0,0.36018017,1.5777488
